Symbol,Timeframe,Strategy,Wins,Losses,Neither,Consecutive SL,Final Balance,Win Rate,Max Drawdown Amount,Max Drawdown Percentage,Max Daily Drawdown,Worst Day
Volatility 10 Index.0,M5,AMSstrategy,7,6,7,3,2450,53.84615384615385,150,6.25,14.285714285714285,2024-04-24
Volatility 10 (1s) Index.0,M5,AMSstrategy,1,10,5,4,750,9.090909090909092,400,34.78260869565217,0.0,2024-04-03
Volatility 25 Index.0,M5,AMSstrategy,1,16,2,8,450,5.88235294117647,500,52.63157894736842,12.5,2024-06-26
Volatility 25 (1s) Index.0,M5,AMSstrategy,9,10,0,5,2750,47.368421052631575,250,9.090909090909092,2.631578947368421,2024-05-11
Volatility 50 Index.0,M5,AMSstrategy,2,14,3,9,800,12.5,450,36.0,5.263157894736842,2024-07-08
Volatility 50 (1s) Index.0,M5,AMSstrategy,1,10,1,6,750,9.090909090909092,250,26.31578947368421,0.0,2024-04-22
Volatility 75 Index.0,M5,AMSstrategy,2,13,6,8,850,13.333333333333334,400,38.095238095238095,6.25,2024-05-29
Volatility 75 (1s) Index.0,M5,AMSstrategy,2,13,6,8,850,13.333333333333334,400,38.095238095238095,6.25,2024-05-29
Volatility 100 Index.0,M5,AMSstrategy,2,12,0,11,900,14.285714285714285,550,45.83333333333333,6.666666666666667,2024-06-23
Volatility 100 (1s) Index.0,M5,AMSstrategy,4,12,6,4,1400,25.0,200,14.285714285714285,15.625,2024-06-20
Volatility 150 (1s) Index.0,M5,AMSstrategy,2,10,2,4,1000,16.666666666666664,300,27.27272727272727,0.0,2024-04-03
Volatility 200 (1s) Index.0,M5,AMSstrategy,2,10,2,4,1000,16.666666666666664,300,27.27272727272727,0.0,2024-04-03
Volatility 250 (1s) Index.0,M5,AMSstrategy,2,10,2,4,1000,16.666666666666664,300,27.27272727272727,0.0,2024-04-03
Volatility 300 (1s) Index.0,M5,AMSstrategy,2,10,2,4,1000,16.666666666666664,300,27.27272727272727,0.0,2024-04-03
Crash 300 Index.0,M5,AMSstrategy,5,7,1,3,1900,41.66666666666667,100,10.526315789473683,14.285714285714285,2024-06-15
Crash 500 Index.0,M5,AMSstrategy,2,15,1,7,750,11.76470588235294,450,37.5,9.090909090909092,2024-06-19
Crash 1000 Index.0,M5,AMSstrategy,1,11,1,5,700,8.333333333333332,300,31.57894736842105,0.0,2024-04-03
Boom 300 Index.0,M5,AMSstrategy,4,13,4,4,1350,23.52941176470588,350,20.588235294117645,0.0,2024-04-01
Boom 500 Index.0,M5,AMSstrategy,4,18,10,7,1100,18.181818181818183,300,31.57894736842105,3.8461538461538463,2024-07-02
Boom 1000 Index.0,M5,AMSstrategy,1,21,1,14,200,4.545454545454546,750,78.94736842105263,11.11111111111111,2024-06-19
Jump 10 Index.0,M5,AMSstrategy,6,10,3,4,2000,37.5,200,12.0,0.0,2024-04-02
Jump 25 Index.0,M5,AMSstrategy,2,23,5,12,350,8.0,800,84.21052631578947,14.285714285714285,2024-06-13
Jump 50 Index.0,M5,AMSstrategy,3,10,1,5,1250,23.076923076923077,200,21.052631578947366,3.8461538461538463,2024-07-16
Jump 75 Index.0,M5,AMSstrategy,1,11,3,4,700,8.333333333333332,500,41.66666666666667,4.166666666666666,2024-04-19
Jump 100 Index.0,M5,AMSstrategy,4,13,6,6,1350,23.52941176470588,250,26.31578947368421,3.571428571428571,2024-07-15
Drift Switch Index.0 10,M5,AMSstrategy,4,13,6,6,1350,23.52941176470588,250,26.31578947368421,3.571428571428571,2024-07-15
Drift Switch Index.0 20,M5,AMSstrategy,4,13,6,6,1350,23.52941176470588,250,26.31578947368421,3.571428571428571,2024-07-15
Drift Switch Index.0 30,M5,AMSstrategy,4,13,6,6,1350,23.52941176470588,250,26.31578947368421,3.571428571428571,2024-07-15
DEX 600 UP Index.0,M5,AMSstrategy,5,12,6,7,1650,29.411764705882355,300,31.57894736842105,17.857142857142858,2024-05-25
DEX 900 UP Index.0,M5,AMSstrategy,1,14,4,5,550,6.666666666666667,450,45.0,7.6923076923076925,2024-07-12
DEX 1500 UP Index.0,M5,AMSstrategy,5,17,3,5,1400,22.727272727272727,300,20.689655172413794,4.0,2024-06-05
DEX 600 DOWN Index.0,M5,AMSstrategy,7,11,1,4,2200,38.88888888888889,200,8.88888888888889,2.2222222222222223,2024-06-05
DEX 900 DOWN Index.0,M5,AMSstrategy,2,19,0,16,550,9.523809523809524,800,59.25925925925925,8.333333333333332,2024-07-10
DEX 1500 DOWN Index.0,M5,AMSstrategy,4,25,3,6,750,13.793103448275861,350,31.818181818181817,15.0,2024-04-29
Step Index.0,M5,AMSstrategy,2,13,3,6,850,13.333333333333334,350,29.166666666666668,0.0,2024-04-07
Step 200 Index.0,M5,AMSstrategy,2,13,3,6,850,13.333333333333334,350,29.166666666666668,0.0,2024-04-07
Step 500 Index.0,M5,AMSstrategy,2,13,3,6,850,13.333333333333334,350,29.166666666666668,0.0,2024-04-07
