time,open,high,low,close,tick_volume,spread,real_volume
2023-08-29,11072.69,11095.12,10846.79,10866.07,39492,7,0
2023-08-30,10866.05,11036.34,10790.8,10803.86,85251,53,0
2023-08-31,10803.44,10909.47,10701.1,10854.13,85148,53,0
2023-09-01,10854.04,10991.31,10851.14,10851.52,85090,29,0
2023-09-02,10851.73,11124.37,10847.49,11011.55,85058,29,0
2023-09-03,11011.62,11105.3,10967.18,11029.2,85164,29,0
2023-09-04,11029.21,11226.21,10979.4,11182.59,85056,29,0
2023-09-05,11182.4,11267.18,11118.6,11125.14,85197,29,0
2023-09-06,11124.91,11350.79,11124.91,11274.28,85092,29,0
2023-09-07,11274.31,11282.4,10990.43,11074.5,85259,29,0
2023-09-08,11074.53,11092.28,10850.05,11062.4,85176,29,0
2023-09-09,11062.77,11266.08,10967.63,11057.03,84992,29,0
2023-09-10,11056.87,11133.14,10983.12,10987.63,84883,29,0
2023-09-11,10987.82,11174.74,10938.53,11084.15,85012,29,0
2023-09-12,11084.03,11142.62,10795.83,10847.77,85202,29,0
2023-09-13,10847.53,11072.32,10846.7,11004.92,84976,29,0
2023-09-14,11004.88,11148.92,10971.03,10983.45,84990,29,0
2023-09-15,10983.7,11093.2,10911.05,10986.94,84990,29,0
2023-09-16,10987.12,11106.72,10966.37,11105.68,84871,29,0
2023-09-17,11105.68,11164.7,10969.61,10972.35,84747,29,0
2023-09-18,10971.91,10979.89,10717.4,10841.05,84960,29,0
2023-09-19,10840.94,10865.89,10585.66,10616.05,84952,29,0
2023-09-20,10615.95,10686.67,10543.85,10685.56,84591,5,0
2023-09-21,10685.56,10842.46,10601.4,10842.04,84859,29,0
2023-09-22,10841.93,10863.3,10467.61,10592.19,85024,29,0
2023-09-23,10592.2,10634.71,10355.85,10356.45,84932,29,0
2023-09-24,10356.65,10395.3,10193.76,10221.68,84968,29,0
2023-09-25,10221.47,10330.0,10155.08,10203.83,84899,29,0
2023-09-26,10203.54,10319.93,10143.66,10166.73,84917,29,0
2023-09-27,10166.73,10248.0,10104.65,10130.1,84869,29,0
2023-09-28,10130.19,10170.45,9833.01,9921.3,84894,29,0
2023-09-29,9921.46,10027.57,9901.65,10015.01,84789,29,0
2023-09-30,10015.2,10089.38,9969.04,10072.1,84869,29,0
2023-10-01,10072.26,10118.78,9986.38,10062.56,84764,29,0
2023-10-02,10062.61,10149.4,10032.35,10137.71,84837,29,0
2023-10-03,10137.6,10315.2,10058.03,10309.6,84817,29,0
2023-10-04,10309.53,10446.86,10172.21,10175.78,84913,5,0
2023-10-05,10176.36,10293.83,10092.31,10171.94,84900,6,0
2023-10-06,10171.9,10191.2,9999.91,10007.69,85049,29,0
2023-10-07,10007.43,10112.46,9918.21,9935.48,84919,29,0
2023-10-08,9935.51,10005.42,9822.37,9999.84,84924,29,0
2023-10-09,9999.71,10030.36,9817.11,9886.9,84936,29,0
2023-10-10,9887.04,10026.85,9844.63,9909.98,84910,53,0
2023-10-11,9910.05,9978.59,9798.25,9872.81,84999,53,0
2023-10-12,9872.79,9880.77,9703.17,9801.81,84961,53,0
2023-10-13,9802.07,9871.63,9771.45,9860.51,84887,53,0
2023-10-14,9860.59,9965.54,9780.22,9945.13,84979,53,0
2023-10-15,9944.92,10139.46,9903.18,10047.32,84737,53,0
2023-10-16,10047.13,10072.38,9942.98,9994.13,85019,53,0
2023-10-17,9994.22,10027.38,9917.25,9943.02,85026,53,0
2023-10-18,9943.03,10137.49,9940.9,10043.29,84981,53,0
2023-10-19,10043.36,10250.33,9948.36,10244.26,84927,53,0
2023-10-20,10244.15,10386.97,10223.02,10238.61,85018,53,0
2023-10-21,10238.44,10308.32,10117.32,10138.63,85119,53,0
2023-10-22,10138.96,10323.95,10081.89,10128.45,84981,53,0
2023-10-23,10128.45,10197.28,10061.53,10190.97,85061,53,0
2023-10-24,10190.47,10254.47,10147.14,10236.17,83921,5,0
2023-10-25,10235.89,10299.9,10132.54,10254.45,85022,53,0
2023-10-26,10253.43,10264.82,10126.55,10170.1,85162,53,0
2023-10-27,10170.1,10192.72,9875.91,10099.5,85039,53,0
2023-10-28,10099.56,10303.27,10099.08,10269.82,84992,53,0
2023-10-29,10269.24,10270.59,10081.88,10231.62,85065,53,0
2023-10-30,10231.65,10299.05,10163.09,10275.74,85073,53,0
2023-10-31,10275.73,10417.24,10141.8,10394.7,85063,53,0
2023-11-01,10394.58,10415.01,10255.16,10291.19,85186,53,0
2023-11-02,10291.07,10492.84,10215.09,10490.32,85043,53,0
2023-11-03,10490.21,10653.34,10483.51,10560.09,85205,53,0
2023-11-04,10560.1,10566.95,10432.98,10513.43,85141,53,0
2023-11-05,10513.74,10666.91,10511.75,10570.12,85052,53,0
2023-11-06,10570.44,10721.39,10501.58,10560.31,85038,5,0
2023-11-07,10560.41,10774.83,10555.92,10574.74,85085,53,0
2023-11-08,10575.04,10694.11,10535.34,10564.63,85157,53,0
2023-11-09,10565.17,10566.87,10244.14,10313.37,85161,53,0
2023-11-10,10313.05,10473.53,10266.01,10437.02,85032,53,0
2023-11-11,10436.47,10678.29,10431.68,10658.19,85075,53,0
2023-11-12,10658.48,10693.48,10584.72,10677.29,85188,53,0
2023-11-13,10676.72,10866.05,10667.49,10825.9,85096,53,0
2023-11-14,10825.86,10910.51,10707.86,10839.26,85104,53,0
2023-11-15,10840.03,11022.03,10806.77,10983.95,85172,53,0
2023-11-16,10984.19,11039.15,10929.57,10979.83,85157,6,0
2023-11-17,10979.76,10989.87,10760.64,10966.98,85171,57,0
2023-11-18,10966.68,11071.99,10825.16,10961.61,85186,6,0
2023-11-19,10961.5,11136.12,10940.66,11092.06,84969,57,0
2023-11-20,11091.14,11295.01,11072.48,11244.65,85155,57,0
2023-11-21,11244.82,11270.33,10995.0,11002.7,85294,57,0
2023-11-22,11002.58,11147.55,10965.77,11067.24,85186,57,0
2023-11-23,11067.28,11071.96,10805.39,10878.21,85268,57,0
2023-11-24,10878.04,10980.21,10791.17,10832.35,85249,57,0
2023-11-25,10832.17,11026.32,10831.87,10866.91,85173,57,0
2023-11-26,10867.13,11149.27,10761.84,11107.77,85099,57,0
2023-11-27,11107.97,11288.95,11051.67,11114.97,85193,57,0
2023-11-28,11115.25,11213.18,11092.23,11189.15,84353,57,0
2023-11-29,11188.97,11540.56,11169.26,11506.94,85096,57,0
2023-11-30,11507.42,11758.92,11425.12,11694.4,85199,58,0
2023-12-01,11694.23,11764.64,11596.51,11750.22,85265,58,0
2023-12-02,11750.14,11890.41,11674.1,11889.13,85202,58,0
