time,open,high,low,close,tick_volume,spread,real_volume
2019-01-01,3630.82,3663.83,3324.72,3385.98,34015,200,0
2019-01-02,3385.02,3525.44,3241.23,3458.46,43016,200,0
2019-01-03,3457.44,3680.94,3434.35,3569.48,43014,200,0
2019-01-04,3568.92,3702.92,3503.2,3531.12,43010,200,0
2019-01-05,3529.69,3747.11,3475.65,3589.96,43021,200,0
2019-01-06,3591.08,3914.62,3547.76,3805.72,43029,200,0
2019-01-07,3803.58,3966.85,3584.66,3951.51,43014,200,0
2019-01-08,3950.11,4063.89,3479.35,3485.8,43022,200,0
2019-01-09,3487.2,3565.09,3319.33,3321.27,43013,200,0
2019-01-10,3323.24,3510.57,3283.31,3409.2,43006,200,0
2019-01-11,3409.01,3495.82,3114.2,3480.51,43009,200,0
2019-01-12,3479.36,3893.82,3447.15,3732.63,43021,200,0
2019-01-13,3733.6,3900.65,3669.72,3722.47,43031,200,0
2019-01-14,3721.4,3847.53,3618.5,3845.29,43001,200,0
2019-01-15,3845.02,4030.89,3795.67,3948.64,43027,200,0
2019-01-16,3949.21,4071.54,3806.59,3892.05,43026,200,0
2019-01-17,3891.04,4055.34,3850.27,3921.01,43045,200,0
2019-01-18,3920.86,4005.39,3778.72,3922.65,43033,200,0
2019-01-19,3921.6,3961.62,3556.03,3594.15,43011,200,0
2019-01-20,3594.51,3707.01,3398.12,3559.88,43008,200,0
2019-01-21,3558.85,3647.22,3431.47,3484.15,43028,200,0
2019-01-22,3483.66,3502.25,3341.79,3478.69,42997,200,0
2019-01-23,3477.5,3775.26,3473.9,3488.49,43023,200,0
2019-01-24,3489.74,3539.66,3038.29,3041.34,42992,200,0
2019-01-25,3042.11,3053.75,2844.64,2958.2,42983,200,0
2019-01-26,2959.11,2981.06,2827.98,2903.27,42958,200,0
2019-01-27,2903.44,3088.33,2867.14,3006.47,42809,200,0
2019-01-28,3006.88,3120.38,2936.74,3036.59,42980,200,0
2019-01-29,3034.99,3096.59,2938.0,3026.11,43004,200,0
2019-01-30,3025.48,3117.25,2900.17,3075.63,42995,200,0
2019-01-31,3076.66,3129.4,2917.44,2963.83,42963,200,0
2019-02-01,2964.29,3013.24,2722.5,2868.85,42994,200,0
2019-02-02,2868.69,2996.96,2773.81,2978.41,42972,200,0
2019-02-03,2976.91,3027.61,2778.61,2835.59,42980,200,0
2019-02-04,2835.48,2951.26,2645.03,2656.38,42968,200,0
2019-02-05,2657.37,2798.67,2651.42,2739.42,42966,200,0
2019-02-06,2739.04,2862.5,2709.03,2732.01,42931,200,0
2019-02-07,2732.06,2984.41,2717.55,2933.07,42957,200,0
2019-02-08,2932.62,2948.02,2541.75,2643.21,42947,200,0
2019-02-09,2644.45,2711.35,2573.9,2652.06,42949,200,0
2019-02-10,2651.66,2728.56,2609.3,2696.1,42938,200,0
2019-02-11,2696.88,2813.29,2485.14,2496.82,42937,200,0
2019-02-12,2496.84,2544.45,2368.32,2497.04,42926,200,0
2019-02-13,2497.03,2560.43,2404.22,2446.2,42960,200,0
2019-02-14,2446.15,2739.77,2373.0,2721.41,42938,200,0
2019-02-15,2720.7,2752.99,2487.73,2619.54,42945,200,0
2019-02-16,2619.13,2874.03,2592.38,2815.24,42970,200,0
2019-02-17,2815.97,2817.36,2689.54,2783.77,42949,200,0
2019-02-18,2784.01,2798.27,2494.72,2518.84,42941,200,0
2019-02-19,2519.42,2909.54,2495.88,2900.18,42961,200,0
2019-02-20,2900.43,2944.59,2635.41,2710.58,42973,200,0
2019-02-21,2710.09,2794.55,2574.94,2725.03,42949,200,0
2019-02-22,2724.6,2891.85,2681.84,2798.43,42974,200,0
2019-02-23,2797.6,2932.12,2776.92,2921.43,42942,200,0
2019-02-24,2920.77,2958.03,2397.24,2410.28,42951,200,0
2019-02-25,2409.69,2539.34,2357.73,2489.44,42927,200,0
2019-02-26,2489.54,2582.77,2450.0,2489.15,42940,200,0
2019-02-27,2489.52,2543.69,2421.2,2457.36,42925,200,0
2019-02-28,2458.08,2494.77,2306.18,2417.61,42922,200,0
2019-03-01,2417.78,2514.69,2385.43,2407.85,42938,200,0
2019-03-02,2406.94,2439.94,2278.18,2339.84,42918,200,0
2019-03-03,2341.14,2363.05,2135.94,2173.43,42900,200,0
2019-03-04,2174.07,2265.24,2111.77,2112.66,42903,200,0
2019-03-05,2112.69,2140.0,1953.52,1986.9,42876,200,0
2019-03-06,1986.72,2101.59,1984.66,2099.19,42871,200,0
2019-03-07,2099.64,2133.26,2005.51,2026.8,42892,200,0
2019-03-08,2026.46,2165.95,2022.1,2164.13,42865,200,0
2019-03-09,2165.06,2198.66,1975.58,2097.62,42877,200,0
2019-03-10,2097.09,2205.51,2081.8,2142.41,42890,200,0
2019-03-11,2141.15,2229.8,2063.85,2154.97,42877,200,0
2019-03-12,2155.45,2327.61,2143.09,2284.8,42885,200,0
2019-03-13,2283.8,2350.08,2198.07,2212.51,42934,200,0
2019-03-14,2213.26,2297.08,2135.55,2177.61,42896,200,0
2019-03-15,2177.82,2383.33,2159.22,2371.82,42900,200,0
2019-03-16,2372.48,2425.45,2217.55,2220.94,42905,200,0
2019-03-17,2220.19,2329.88,2204.38,2287.73,42754,200,0
2019-03-18,2288.07,2412.46,2240.9,2397.26,42928,200,0
2019-03-19,2396.73,2399.07,2255.68,2331.62,42928,200,0
2019-03-20,2331.61,2450.86,2206.67,2224.41,42926,200,0
2019-03-21,2224.93,2298.51,2157.44,2273.43,42924,200,0
2019-03-22,2272.59,2423.53,2255.22,2405.37,42909,200,0
2019-03-23,2406.02,2585.32,2331.55,2340.46,42907,200,0
2019-03-24,2340.37,2355.83,2132.8,2133.52,42907,200,0
