time,open,high,low,close,tick_volume,spread,real_volume
2011-01-02,1418.65,1418.7,1413.95,1415.85,790,50,0
2011-01-03,1415.95,1423.8,1412.8,1415.9,17972,0,0
2011-01-04,1415.85,1417.1,1374.65,1384.35,26511,50,0
2011-01-05,1384.3,1384.45,1363.85,1375.0,26479,50,0
2011-01-06,1374.95,1379.75,1364.55,1370.4,25601,0,0
2011-01-07,1370.4,1378.75,1352.7,1369.0,27772,50,0
2011-01-09,1370.1,1372.65,1367.4,1369.2,981,65,0
2011-01-10,1369.15,1377.45,1365.4,1375.3,22264,50,0
2011-01-11,1375.15,1386.65,1372.65,1383.1,23068,50,0
2011-01-12,1382.95,1388.75,1376.55,1386.3,23263,50,0
2011-01-13,1386.25,1393.0,1369.45,1375.0,23896,0,0
2011-01-14,1374.95,1377.9,1354.9,1361.75,25892,50,0
2011-01-16,1361.45,1364.5,1361.4,1364.05,1116,50,0
2011-01-17,1364.0,1365.6,1357.1,1363.2,12419,50,0
2011-01-18,1363.15,1376.15,1361.3,1372.35,22470,50,0
2011-01-19,1372.55,1379.05,1366.9,1368.7,22980,50,0
2011-01-20,1368.65,1371.1,1343.15,1346.9,19967,50,0
2011-01-21,1346.9,1350.1,1337.65,1342.45,23015,50,0
2011-01-24,1349.2,1350.4,1331.25,1332.75,16328,50,0
2011-01-25,1332.8,1335.35,1322.55,1333.9,27818,0,0
2011-01-26,1333.85,1346.6,1324.9,1344.55,26627,30,0
2011-01-27,1344.5,1347.75,1310.2,1311.7,29767,50,0
2011-01-28,1311.55,1346.85,1308.15,1336.4,33714,50,0
2011-01-30,1339.85,1345.5,1339.65,1340.8,2461,140,0
2011-01-31,1340.85,1340.95,1322.95,1336.6,30224,50,0
2011-02-01,1336.65,1342.85,1325.35,1339.05,23224,50,0
2011-02-02,1339.1,1342.85,1326.55,1335.0,23469,0,0
2011-02-03,1334.95,1355.9,1324.75,1351.8,20205,50,0
2011-02-04,1351.75,1358.25,1345.0,1348.6,20740,50,0
2011-02-06,1343.9,1347.1,1343.3,1345.95,1842,50,0
2011-02-07,1345.9,1353.25,1344.9,1350.25,18352,50,0
2011-02-08,1350.3,1368.0,1348.35,1364.25,16069,50,0
2011-02-09,1364.3,1366.9,1357.85,1360.8,20047,0,0
2011-02-10,1360.9,1366.05,1350.95,1365.1,20430,50,0
2011-02-11,1365.35,1368.4,1354.0,1356.6,21161,50,0
2011-02-13,1357.3,1357.65,1353.95,1356.2,2097,50,0
2011-02-14,1356.15,1366.7,1355.75,1362.55,16812,50,0
2011-02-15,1362.6,1376.55,1362.15,1371.2,18250,50,0
2011-02-16,1371.15,1381.95,1367.9,1374.8,21507,50,0
2011-02-17,1374.9,1384.8,1374.8,1383.5,15592,50,0
2011-02-18,1383.4,1391.8,1381.55,1389.9,19317,50,0
2011-02-20,1390.3,1392.55,1389.7,1392.35,967,50,0
2011-02-21,1392.45,1410.7,1391.85,1409.45,14952,50,0
2011-02-22,1409.5,1409.9,1392.7,1396.3,25262,0,0
2011-02-23,1396.2,1416.5,1395.75,1414.35,21008,50,0
2011-02-24,1414.45,1418.15,1391.65,1402.45,28193,0,0
2011-02-25,1402.4,1411.65,1399.6,1410.3,19648,30,0
2011-02-27,1407.75,1414.9,1407.55,1414.75,1052,50,0
2011-02-28,1414.7,1416.35,1404.7,1410.1,22139,0,0
2011-03-01,1410.15,1434.8,1409.45,1431.05,23073,50,0
2011-03-02,1431.45,1440.15,1427.65,1431.95,22838,50,0
2011-03-03,1431.9,1436.15,1410.15,1417.3,23316,50,0
2011-03-04,1417.2,1432.05,1414.65,1430.55,16315,50,0
2011-03-06,1433.9,1437.3,1432.45,1433.7,1979,50,0
2011-03-07,1433.75,1444.55,1427.9,1432.2,27420,0,0
2011-03-08,1432.15,1436.75,1423.1,1426.45,23243,50,0
2011-03-09,1426.4,1436.3,1423.0,1427.5,18440,0,0
2011-03-10,1427.6,1431.3,1402.9,1413.45,27631,40,0
2011-03-11,1413.25,1423.85,1404.7,1417.5,24713,45,0
2011-03-13,1429.95,1430.25,1425.25,1428.8,2080,50,0
2011-03-14,1428.85,1430.5,1418.35,1424.75,21156,50,0
2011-03-15,1424.8,1424.8,1380.7,1397.75,35665,50,0
2011-03-16,1397.8,1406.0,1386.3,1392.2,20629,50,0
2011-03-17,1392.15,1410.8,1389.05,1406.65,23627,35,0
2011-03-18,1406.55,1423.9,1406.35,1419.25,15049,50,0
2011-03-20,1425.25,1427.55,1423.6,1427.55,867,50,0
2011-03-21,1427.75,1434.65,1424.85,1428.1,17575,0,0
2011-03-22,1428.05,1432.0,1419.45,1427.0,17983,0,0
2011-03-23,1426.95,1440.9,1425.85,1437.3,17418,0,0
2011-03-24,1437.25,1447.55,1423.65,1432.95,22218,50,0
2011-03-25,1432.9,1437.75,1422.05,1429.2,14325,50,0
2011-03-27,1424.65,1426.6,1424.25,1425.3,1339,85,0
2011-03-28,1425.25,1428.05,1409.9,1420.35,18088,50,0
2011-03-29,1420.4,1423.15,1410.95,1417.05,13317,50,0
2011-03-30,1416.85,1430.2,1411.95,1421.95,19141,50,0
2011-03-31,1421.7,1439.45,1420.35,1432.1,20070,40,0
2011-04-01,1432.05,1436.1,1412.5,1428.2,23339,50,0
2011-04-03,1428.1,1430.65,1427.7,1430.45,593,65,0
2011-04-04,1430.4,1438.65,1428.95,1433.8,11750,50,0
2011-04-05,1433.7,1457.0,1429.75,1453.8,21602,50,0
2011-04-06,1454.05,1462.2,1451.3,1458.25,19763,50,0
2011-04-07,1458.3,1465.0,1452.7,1458.65,21421,50,0
2011-04-08,1458.9,1474.95,1456.4,1474.45,19758,50,0
2011-04-10,1474.75,1475.9,1472.45,1475.75,948,50,0
2011-04-11,1475.85,1476.25,1459.3,1462.75,23126,50,0
2011-04-12,1462.7,1467.15,1444.0,1452.55,27880,50,0
2011-04-13,1452.3,1462.1,1451.1,1456.25,23379,50,0
2011-04-14,1456.1,1478.3,1452.35,1478.05,26557,50,0
2011-04-15,1478.1,1488.1,1471.35,1486.65,25346,50,0
2011-04-17,1486.0,1487.9,1484.5,1487.9,807,50,0
2011-04-18,1488.05,1497.8,1477.2,1494.6,29515,40,0
2011-04-19,1494.7,1499.2,1487.4,1495.65,17004,50,0
2011-04-20,1495.6,1505.8,1493.65,1501.35,24403,0,0
2011-04-21,1501.15,1508.85,1500.25,1503.5,23743,50,0
2011-04-24,1511.55,1513.7,1509.9,1512.25,1424,60,0
2011-04-25,1512.5,1518.1,1501.75,1506.7,32896,50,0
2011-04-26,1506.45,1509.65,1492.65,1508.35,25942,50,0
2011-04-27,1508.4,1530.05,1502.95,1524.45,31515,50,0
2011-04-28,1524.4,1538.3,1523.9,1535.0,31657,50,0
2011-04-29,1535.4,1569.2,1531.7,1563.2,26990,50,0
2011-05-01,1569.4,1576.8,1543.05,1553.5,5834,65,0
2011-05-02,1553.3,1575.1,1533.9,1541.5,51297,50,0
2011-05-03,1541.3,1550.9,1527.0,1536.8,45967,50,0
2011-05-04,1536.75,1543.2,1505.8,1515.55,47609,50,0
2011-05-05,1515.6,1521.85,1462.45,1473.2,57484,50,0
2011-05-06,1473.05,1498.35,1472.6,1495.3,52303,50,0
2011-05-08,1493.8,1495.95,1489.1,1493.55,1940,60,0
2011-05-09,1493.35,1513.95,1492.45,1511.4,34008,0,0
2011-05-10,1511.55,1519.35,1505.85,1515.8,30674,50,0
2011-05-11,1515.85,1526.4,1495.55,1503.9,39090,50,0
2011-05-12,1503.9,1507.8,1477.95,1504.45,47119,50,0
2011-05-13,1504.55,1516.4,1482.65,1494.95,39569,50,0
2011-05-15,1492.65,1493.0,1487.05,1491.9,2096,70,0
2011-05-16,1491.75,1504.4,1488.4,1489.8,29287,50,0
2011-05-17,1489.85,1497.55,1471.7,1485.45,32079,50,0
2011-05-18,1485.5,1499.75,1484.8,1495.9,24083,50,0
2011-05-19,1495.8,1499.55,1486.15,1494.9,25670,50,0
2011-05-20,1494.85,1515.55,1486.7,1511.85,28986,50,0
2011-05-22,1510.2,1518.7,1509.45,1516.95,1746,60,0
2011-05-23,1516.9,1517.6,1503.8,1514.1,31322,50,0
2011-05-24,1514.15,1527.6,1513.85,1524.5,25087,50,0
2011-05-25,1524.45,1532.1,1521.05,1525.2,23935,50,0
2011-05-26,1525.25,1530.9,1514.55,1524.05,25346,0,0
2011-05-27,1524.1,1538.15,1522.55,1536.05,17769,50,0
2011-05-29,1535.75,1537.4,1535.5,1536.35,516,75,0
2011-05-30,1536.25,1538.95,1534.05,1538.5,7907,50,0
2011-05-31,1538.45,1540.65,1532.1,1535.4,20787,0,0
2011-06-01,1535.35,1550.1,1529.35,1542.6,24358,50,0
2011-06-02,1542.65,1544.15,1519.4,1534.15,23570,50,0
2011-06-03,1534.25,1546.75,1523.95,1541.8,27420,50,0
2011-06-05,1541.5,1544.75,1540.3,1544.6,1064,50,0
2011-06-06,1544.55,1553.45,1540.9,1544.4,19388,50,0
2011-06-07,1544.35,1550.0,1536.1,1544.9,20347,50,0
2011-06-08,1544.95,1545.05,1530.8,1536.05,21890,50,0
2011-06-09,1536.1,1549.35,1533.05,1542.25,19359,0,0
2011-06-10,1542.35,1545.25,1525.85,1531.2,19609,50,0
2011-06-12,1530.65,1530.95,1527.15,1530.4,1213,50,0
2011-06-13,1530.35,1532.6,1510.8,1517.55,23767,50,0
2011-06-14,1517.5,1527.2,1512.05,1526.15,23450,50,0
2011-06-15,1526.05,1534.4,1513.8,1528.85,27331,50,0
2011-06-16,1528.8,1532.85,1521.45,1528.8,26949,50,0
2011-06-17,1528.85,1542.0,1522.4,1539.2,21705,50,0
2011-06-19,1540.05,1541.45,1537.8,1538.8,1031,50,0
2011-06-20,1538.85,1546.95,1532.75,1539.35,18579,50,0
2011-06-21,1539.45,1547.85,1539.3,1545.2,17050,50,0
2011-06-22,1545.15,1557.9,1541.05,1547.45,20165,0,0
2011-06-23,1547.5,1548.6,1512.2,1524.65,32962,50,0
2011-06-24,1524.7,1525.6,1498.3,1502.35,28420,50,0
2011-06-26,1500.25,1502.3,1497.65,1501.2,1768,50,0
2011-06-27,1501.15,1505.3,1490.35,1500.8,23872,50,0
2011-06-28,1500.75,1506.25,1495.3,1500.9,19134,50,0
2011-06-29,1500.95,1512.8,1500.95,1510.5,19590,50,0
2011-06-30,1510.55,1513.85,1498.6,1501.3,21079,50,0
2011-07-01,1501.25,1501.7,1478.1,1487.5,22253,50,0
2011-07-14,1583.8,1594.2,1580.2,1586.55,24859,50,0
2011-07-15,1586.6,1593.7,1575.85,1593.45,24236,50,0
2011-07-17,1593.45,1598.15,1593.45,1596.35,1660,0,0
2011-07-18,1596.25,1607.25,1591.35,1603.15,23242,50,0
2011-07-19,1603.2,1609.95,1582.35,1589.6,26339,50,0
2011-07-20,1589.65,1602.0,1580.95,1598.25,26344,50,0
2011-07-21,1598.3,1604.45,1584.7,1591.25,32620,50,0
2011-07-22,1591.3,1607.1,1583.3,1601.0,21202,50,0
2011-07-24,1608.15,1623.35,1603.3,1615.35,3345,50,0
2011-07-25,1615.35,1621.5,1607.8,1613.75,25133,0,0
2011-07-26,1613.8,1620.35,1607.7,1619.25,22384,0,0
2011-07-27,1619.2,1628.5,1608.8,1613.15,23744,30,0
2011-07-28,1613.2,1620.05,1602.75,1613.6,21565,50,0
2011-07-29,1613.65,1632.4,1610.5,1626.9,23467,50,0
2011-07-31,1611.75,1615.8,1606.8,1615.0,2388,100,0
2011-08-01,1615.05,1631.65,1608.9,1618.3,27080,50,0
2011-08-02,1618.35,1661.25,1618.05,1654.2,27396,50,0
2011-08-03,1654.25,1672.75,1651.75,1660.35,28852,50,0
2011-08-04,1660.3,1681.9,1640.05,1641.85,47230,0,0
2011-08-05,1641.85,1669.7,1641.75,1663.55,44452,50,0
2011-08-07,1687.2,1693.9,1682.7,1687.8,3857,100,0
2011-08-08,1687.65,1723.0,1682.35,1721.5,56720,50,0
2011-08-09,1721.6,1779.3,1719.35,1763.6,79888,50,0
2011-08-10,1763.25,1814.6,1737.15,1808.35,70626,50,0
2011-08-11,1808.3,1808.5,1731.85,1751.85,73265,50,0
2011-08-12,1751.9,1767.7,1723.0,1746.55,53672,50,0
2011-08-14,1742.2,1746.85,1731.15,1732.75,3138,100,0
2011-08-15,1732.75,1769.7,1727.8,1766.0,45118,50,0
2011-08-16,1766.15,1787.25,1760.8,1785.6,42828,50,0
2011-08-17,1785.7,1794.6,1778.95,1786.7,35252,50,0
2011-08-18,1786.75,1828.45,1783.7,1825.45,43098,0,0
2011-08-19,1825.55,1877.0,1825.4,1851.65,63684,50,0
2011-08-21,1858.1,1875.5,1857.65,1870.65,4409,145,0
2011-08-22,1870.7,1911.6,1857.4,1908.9,65357,65,0
2011-08-23,1908.95,1909.8,1822.95,1837.8,76589,50,0
2011-08-24,1837.85,1853.8,1741.35,1749.3,77739,50,0
2011-08-25,1749.25,1774.6,1702.5,1765.15,84925,50,0
2011-08-26,1765.05,1827.9,1756.8,1827.6,70063,50,0
2011-08-28,1836.35,1837.0,1819.45,1823.25,4684,160,0
2011-08-29,1823.35,1825.5,1775.7,1790.45,61729,70,0
2011-08-30,1790.3,1840.15,1783.3,1829.55,62762,50,0
2011-08-31,1829.45,1839.65,1811.25,1827.15,55490,50,0
2011-09-01,1827.1,1830.5,1812.7,1826.55,48449,50,0
2011-09-02,1826.5,1884.45,1824.5,1882.6,48903,50,0
2011-09-04,1878.7,1889.8,1878.4,1884.55,2279,85,0
