Symbol,Timeframe,Strategy,Wins,Losses,Neither,Consecutive SL,Final Balance,Win Rate,Max Drawdown Amount,Max Drawdown Percentage,Max Daily Drawdown,Worst Day
Volatility 10 Index,M5,AMSstrategy,2,22,10,6,9400,8.333333333333332,600,6.030150753768844,0.5291005291005291,2024-07-04
Volatility 10 (1s) Index,M5,AMSstrategy,2,17,1,9,9650,10.526315789473683,500,4.926108374384237,0.0,2024-01-02
Volatility 25 Index,M5,AMSstrategy,4,21,2,11,9950,16.0,500,5.025125628140704,2.5773195876288657,2024-04-13
Volatility 25 (1s) Index,M5,AMSstrategy,7,21,2,10,10700,25.0,500,4.975124378109453,2.4875621890547266,2024-05-05
Volatility 50 Index,M5,AMSstrategy,3,13,7,4,10100,18.75,200,1.9900497512437811,0.4975124378109453,2024-05-31
Volatility 50 (1s) Index,M5,AMSstrategy,6,11,2,7,10950,35.294117647058826,400,3.524229074889868,2.2026431718061676,2024-03-07
Volatility 75 Index,M5,AMSstrategy,5,19,8,7,10300,20.833333333333336,400,3.8095238095238098,0.49019607843137253,2024-01-16
Volatility 75 (1s) Index,M5,AMSstrategy,7,20,1,11,10750,25.925925925925924,550,5.238095238095238,2.4271844660194173,2024-05-15
Volatility 100 Index,M5,AMSstrategy,5,17,3,4,10400,22.727272727272727,400,3.7735849056603774,2.358490566037736,2024-06-15
Volatility 100 (1s) Index,M5,AMSstrategy,3,18,7,7,9850,14.285714285714285,300,3.015075376884422,2.5,2024-04-07
Volatility 150 (1s) Index,M5,AMSstrategy,3,18,4,6,9850,14.285714285714285,350,3.5175879396984926,0.5050505050505051,2024-01-27
Volatility 200 (1s) Index,M5,AMSstrategy,3,16,1,8,9950,15.789473684210526,400,3.9408866995073892,0.0,2024-01-06
Volatility 250 (1s) Index,M5,AMSstrategy,4,22,4,13,9900,15.384615384615385,650,6.161137440758294,0.4878048780487805,2024-05-14
Volatility 300 (1s) Index,M5,AMSstrategy,0,1,4,0,9950,0.0,0,0.0,0.0,2024-01-20
Crash 300 Index,M5,AMSstrategy,5,16,0,5,10450,23.809523809523807,250,2.336448598130841,0.0,2024-01-14
Crash 500 Index,M5,AMSstrategy,5,20,0,8,10250,20.0,400,3.8095238095238098,0.48543689320388345,2024-07-02
Crash 1000 Index,M5,AMSstrategy,3,18,6,6,9850,14.285714285714285,400,4.0201005025125625,2.4875621890547266,2024-02-16
Boom 300 Index,M5,AMSstrategy,3,20,1,8,9750,13.043478260869565,450,4.411764705882353,0.0,2024-01-08
Boom 500 Index,M5,AMSstrategy,4,17,4,12,10150,19.047619047619047,550,5.527638190954774,0.5050505050505051,2024-01-25
Boom 1000 Index,M5,AMSstrategy,5,23,1,6,10100,17.857142857142858,300,2.955665024630542,0.0,2024-01-01
Jump 10 Index,M5,AMSstrategy,2,21,0,11,9450,8.695652173913043,750,7.537688442211055,0.5102040816326531,2024-02-01
Jump 25 Index,M5,AMSstrategy,3,36,0,27,8950,7.6923076923076925,1400,13.526570048309178,0.9900990099009901,2024-02-16
Jump 50 Index,M5,AMSstrategy,0,19,1,19,9050,0.0,900,9.045226130653267,0.0,2024-01-10
Jump 75 Index,M5,AMSstrategy,7,15,1,6,11000,31.818181818181817,300,2.8301886792452833,2.450980392156863,2024-01-16
Jump 100 Index,M5,AMSstrategy,5,19,1,5,10300,20.833333333333336,350,3.4482758620689653,0.49504950495049505,2024-04-05
Drift Switch Index 10,M5,AMSstrategy,3,24,7,5,9550,11.11111111111111,450,4.522613065326634,2.564102564102564,2024-05-24
Drift Switch Index 20,M5,AMSstrategy,6,20,3,6,10500,23.076923076923077,300,2.9268292682926833,2.4390243902439024,2024-02-17
Drift Switch Index 30,M5,AMSstrategy,8,15,3,4,11250,34.78260869565217,200,1.82648401826484,2.3696682464454977,2024-02-08
DEX 600 UP Index,M5,AMSstrategy,6,17,5,11,10650,26.08695652173913,550,5.392156862745098,2.3474178403755865,2024-05-25
DEX 900 UP Index,M5,AMSstrategy,1,16,11,7,9450,5.88235294117647,500,5.025125628140704,0.5208333333333333,2024-03-11
DEX 1500 UP Index,M5,AMSstrategy,3,26,6,9,9450,10.344827586206897,650,6.532663316582915,0.53475935828877,2024-03-22
DEX 600 DOWN Index,M5,AMSstrategy,8,27,1,11,10650,22.857142857142858,550,5.188679245283019,0.49504950495049505,2024-02-28
DEX 900 DOWN Index,M5,AMSstrategy,5,18,0,5,10350,21.73913043478261,250,2.358490566037736,2.4752475247524752,2024-03-25
DEX 1500 DOWN Index,M5,AMSstrategy,8,27,4,6,10650,22.857142857142858,300,2.898550724637681,0.9478672985781991,2024-04-29
Step 100 Index,M5,AMSstrategy,8,27,4,6,10650,22.857142857142858,300,2.898550724637681,0.9478672985781991,2024-04-29
Step 200 Index,M5,AMSstrategy,8,27,4,6,10650,22.857142857142858,300,2.898550724637681,0.9478672985781991,2024-04-29
Step 500 Index,M5,AMSstrategy,8,27,4,6,10650,22.857142857142858,300,2.898550724637681,0.9478672985781991,2024-04-29
Range Break 100 Index,M5,AMSstrategy,1,7,0,4,9900,12.5,150,1.507537688442211,0.0,2024-01-31
Range Break 200 Index,M5,AMSstrategy,1,0,2,0,10250,100.0,0,0.0,0.0,2024-03-05
