Open,High,Low,Close,Volume,smoothed_close,Is_High,Is_Low,Up Trend,Down Trend,Trend
6247.154,6247.307,6244.791,6245.782,150,6245.780743007079,,,,,
6245.802,6245.979,6242.601,6244.242,150,6244.242501776815,,,,,
6244.417,6246.309,6244.37,6245.645,150,6245.671389016016,,,,,
6245.631,6247.261,6245.321,6247.049,150,6246.955113137705,6247.261,,,A,
6246.972,6247.294,6245.936,6246.133,150,6246.333154125725,,,,A,
6245.891,6246.325,6244.788,6244.934,150,6244.408200982633,,,,A,
6244.966,6246.418,6240.958,6241.443,150,6242.752810122487,,,,A,
6241.316,6244.985,6241.247,6244.395,150,6242.348838941976,,,,A,
6244.377,6245.4,6240.499,6241.22,150,6242.909279982104,,,,A,
6241.355,6244.169,6240.768,6243.592,150,6243.263166373213,6244.169,,,A,
6243.44,6245.529,6242.721,6242.958,150,6241.8330582834615,,,,A,
6243.066,6243.686,6239.124,6239.143,150,6240.014193025899,,,,A,
6238.992,6239.296,6237.645,6238.158,149,6237.898209986709,,,,A,
6238.163,6238.783,6235.628,6236.096,150,6237.0085137962,,,,A,
6236.137,6238.347,6235.75,6237.8,149,6236.801157220638,,6235.75,,,
6237.657,6238.4,6236.922,6238.353,150,6237.935969039041,,,,,
6238.099,6239.253,6236.546,6236.838,150,6238.403901196753,,,,,
6236.689,6241.196,6236.689,6240.461,148,6238.908911830703,,,,,
6240.398,6240.466,6236.934,6238.454,150,6239.484577061488,,,,,
6238.657,6240.282,6238.102,6240.03,150,6239.577496027695,,,,,
6239.692,6240.822,6238.971,6239.897,150,6239.824825681726,,,,,
6240.039,6240.825,6238.165,6239.799,149,6239.864967423548,,,,,
6239.857,6240.903,6238.982,6239.417,149,6239.970626731649,,,,,
6239.627,6241.471,6236.921,6240.447,148,6239.925848968833,,,,,
6240.52,6240.832,6238.944,6240.089,150,6239.520461971991,,6238.944,,,
6239.93,6240.331,6238.257,6239.348,150,6240.061241350044,,,A,,
6239.358,6241.444,6238.937,6240.863,150,6241.2738991773385,,,A,,
6240.783,6243.22,6239.542,6243.22,150,6242.917956385379,,,A,,
6242.993,6244.413,6242.184,6244.276,150,6243.637027188908,,,A,,
6244.394,6246.568,6243.749,6243.759,149,6243.848812758961,,,A,,
6243.782,6245.071,6243.025,6243.677,150,6243.9865767918,,,A,,
6243.508,6245.453,6243.381,6243.533,149,6244.4645395054395,,,A,,
6243.75,6247.215,6243.181,6246.604,149,6245.582628346332,,,A,,
6246.601,6247.377,6244.493,6247.217,149,6246.4286644210715,,,A,,
6247.066,6247.974,6244.774,6245.12,150,6246.538429934593,,,A,,
6245.156,6247.323,6245.156,6246.219,150,6246.125534120952,,,A,,
6246.49,6246.964,6244.118,6246.964,150,6246.0305575427,,6244.118,A,,
6247.11,6248.039,6245.923,6246.576,150,6247.047408801174,,,A,,
6246.466,6249.193,6246.177,6249.136,150,6249.33698680603,,,A,,
6249.216,6252.102,6248.606,6251.766,150,6251.971747069563,,,A,,
6252.062,6255.0,6251.565,6255.0,150,6254.406028803042,,,A,,
6254.94,6256.804,6254.313,6256.804,149,6256.725663343095,,,A,,
6256.712,6258.737,6256.077,6257.546,150,6257.958961095017,,,A,,
6257.585,6259.833,6256.896,6258.148,150,6258.494013322718,6259.833,,A,,
6258.139,6259.419,6257.682,6258.72,150,6258.223478122864,,,A,,
6258.773,6259.542,6257.485,6258.587,150,6257.996219407047,,,A,,
6258.707,6259.075,6255.112,6256.359,150,6257.316468565836,,,A,,
6256.361,6258.547,6256.272,6257.392,149,6257.242315113156,,,A,,
6257.418,6260.572,6257.01,6257.671,149,6257.748983574514,,,A,,
6257.716,6258.228,6255.788,6257.884,149,6257.29697294056,,,A,,
6257.789,6258.933,6255.052,6255.602,150,6256.242824199269,,,A,,
6255.726,6257.372,6254.335,6256.596,150,6255.126416472931,,,A,,
6256.564,6256.688,6252.544,6252.544,149,6254.849402608379,,6252.544,A,,
6252.735,6256.354,6252.557,6256.354,150,6255.825685149641,,,A,,
6256.457,6258.2,6256.237,6258.023,149,6256.416692149165,,,A,,
6258.027,6258.178,6254.363,6255.436,146,6256.280487007184,,,A,,
6255.433,6257.43,6254.114,6256.566,149,6256.768077934584,,,A,,
6256.631,6257.56,6255.195,6256.93,150,6257.4860888377225,,,A,,
6256.795,6260.096,6256.352,6258.942,149,6258.592447432295,,,A,,
6259.033,6261.667,6258.322,6261.487,150,6260.456442586199,,,A,,
6261.45,6262.377,6260.567,6260.567,150,6261.066495890765,,,A,,
6260.606,6262.603,6259.264,6260.15,149,6261.44258419334,,,A,,
