Symbol,Timeframe,Strategy,Wins,Losses,Neither,Consecutive SL,Final Balance,Win Rate,Max Drawdown Amount,Max Drawdown Percentage,Max Daily Drawdown,Worst Day
Volatility 10 Index,M5,Noir,32,89,12,8,13550,26.446280991735538,450,3.91304347826087,4.545454545454546,2024-03-07
Drift Switch Index 20,M5,Noir,22,52,9,14,12900,29.72972972972973,700,6.896551724137931,2.450980392156863,2024-03-07
Volatility 100 Index,M5,Noir,25,58,3,7,13350,30.120481927710845,350,3.3816425120772946,4.166666666666666,2024-04-29
Drift Switch Index 30,M5,Noir,8,17,5,4,11150,32.0,250,2.1929824561403506,2.3696682464454977,2024-02-08
Volatility 75 (1s) Index,M5,Noir,9,25,1,5,11000,26.47058823529412,250,2.3255813953488373,2.3255813953488373,2024-05-15
Volatility 50 (1s) Index,M5,Noir,7,12,2,7,11150,36.84210526315789,400,3.524229074889868,2.2026431718061676,2024-03-07
Volatility 25 (1s) Index,M5,Noir,9,26,0,16,10950,25.71428571428571,750,7.537688442211055,0.49504950495049505,2024-05-11
Crash 300 Index,M5,Noir,9,18,1,6,11350,33.33333333333333,300,2.8301886792452833,2.358490566037736,2024-02-27
Jump 10 Index,M5,Noir,8,25,2,7,10750,24.242424242424242,350,3.4653465346534658,2.4752475247524752,2024-02-18
DEX 600 DOWN Index,M5,Noir,11,28,1,7,11350,28.205128205128204,350,3.431372549019608,0.5050505050505051,2024-02-28
