time,open,high,low,close,tick_volume,spread,real_volume
2024-07-01 00:00:00,3771.52,3772.63,3768.72,3772.5,289,29,0
2024-07-01 00:05:00,3772.54,3773.77,3771.97,3773.77,281,245,0
2024-07-01 00:10:00,3773.95,3774.39,3771.89,3773.59,290,28,0
2024-07-01 00:15:00,3773.66,3773.87,3770.97,3771.25,289,28,0
2024-07-01 00:20:00,3770.87,3776.38,3770.45,3772.97,288,28,0
2024-07-01 00:25:00,3772.61,3778.77,3771.16,3778.42,291,27,0
2024-07-01 00:30:00,3778.49,3782.8,3778.23,3782.5,282,396,0
2024-07-01 00:35:00,3782.55,3786.09,3782.43,3785.85,284,503,0
2024-07-01 00:40:00,3785.93,3788.08,3785.71,3787.94,287,393,0
2024-07-01 00:45:00,3787.87,3789.79,3787.47,3789.79,277,283,0
2024-07-01 00:50:00,3789.87,3791.5,3789.37,3790.93,286,306,0
2024-07-01 00:55:00,3790.99,3792.69,3790.44,3792.34,285,210,0
2024-07-01 01:00:00,3792.35,3794.7,3791.95,3794.35,281,278,0
2024-07-01 01:05:00,3794.37,3795.37,3789.93,3794.15,289,35,0
2024-07-01 01:10:00,3794.11,3794.71,3791.71,3794.09,289,27,0
2024-07-01 01:15:00,3794.11,3796.45,3793.93,3796.34,283,29,0
2024-07-01 01:20:00,3796.3,3798.1,3796.19,3797.84,282,28,0
2024-07-01 01:25:00,3797.81,3801.86,3797.73,3801.72,282,342,0
2024-07-01 01:30:00,3801.74,3802.78,3797.78,3799.31,292,31,0
2024-07-01 01:35:00,3799.36,3801.48,3792.95,3793.1,295,27,0
2024-07-01 01:40:00,3792.99,3793.83,3790.83,3791.27,297,412,0
2024-07-01 01:45:00,3791.49,3796.92,3789.77,3789.97,297,27,0
2024-07-01 01:50:00,3790.13,3795.8,3788.95,3792.55,296,28,0
2024-07-01 01:55:00,3792.43,3792.43,3784.19,3784.68,290,272,0
2024-07-01 02:00:00,3784.71,3791.93,3784.6,3787.81,293,27,0
2024-07-01 02:05:00,3788.21,3791.32,3786.2,3790.35,288,27,0
2024-07-01 02:10:00,3790.25,3791.07,3788.31,3790.51,292,27,0
2024-07-01 02:15:00,3790.46,3790.5,3783.55,3786.31,293,30,0
2024-07-01 02:20:00,3786.13,3786.59,3780.36,3780.36,288,203,0
2024-07-01 02:25:00,3780.25,3784.43,3779.86,3781.9,294,176,0
2024-07-01 02:30:00,3782.66,3783.86,3777.99,3780.89,299,73,0
2024-07-01 02:35:00,3780.77,3784.47,3776.82,3777.44,296,27,0
2024-07-01 02:40:00,3777.48,3780.99,3774.98,3777.58,295,191,0
2024-07-01 02:45:00,3777.68,3777.68,3773.37,3775.59,296,349,0
2024-07-01 02:50:00,3776.06,3779.65,3773.13,3773.13,293,28,0
2024-07-01 02:55:00,3773.09,3773.43,3768.89,3768.93,292,447,0
2024-07-01 03:00:00,3768.93,3775.15,3767.97,3770.13,294,29,0
2024-07-01 03:05:00,3769.73,3773.16,3767.41,3768.01,293,153,0
2024-07-01 03:10:00,3768.26,3770.49,3765.72,3766.86,296,197,0
2024-07-01 03:15:00,3766.67,3768.09,3762.94,3763.28,293,333,0
2024-07-01 03:20:00,3763.14,3764.18,3759.59,3759.63,292,455,0
2024-07-01 03:25:00,3759.81,3765.76,3759.01,3765.59,294,28,0
2024-07-01 03:30:00,3764.67,3766.68,3764.05,3766.46,291,27,0
2024-07-01 03:35:00,3766.59,3768.89,3766.59,3768.73,287,227,0
2024-07-01 03:40:00,3768.71,3771.05,3768.59,3771.05,286,331,0
2024-07-01 03:45:00,3771.04,3774.97,3770.99,3774.34,281,435,0
2024-07-01 03:50:00,3774.5,3776.93,3774.48,3776.33,284,309,0
2024-07-01 03:55:00,3776.28,3776.32,3770.24,3774.03,294,30,0
2024-07-01 04:00:00,3774.16,3778.0,3771.65,3777.76,289,29,0
2024-07-01 04:05:00,3777.77,3780.83,3777.77,3780.79,286,487,0
2024-07-01 04:10:00,3780.78,3781.82,3780.5,3781.11,280,56,0
2024-07-01 04:15:00,3781.03,3781.09,3776.05,3778.45,292,28,0
2024-07-01 04:20:00,3778.33,3779.54,3772.92,3777.39,293,29,0
2024-07-01 04:25:00,3777.04,3780.26,3777.04,3780.09,285,28,0
2024-07-01 04:30:00,3780.06,3781.14,3779.35,3780.62,277,28,0
2024-07-01 04:35:00,3780.71,3781.31,3779.47,3780.15,284,27,0
