time,open,high,low,close,tick_volume,spread,real_volume
2024-07-01 00:00:00,3771.52,3771.99,3771.51,3771.8,57,517,0
2024-07-01 00:01:00,3771.83,3771.84,3770.74,3770.88,56,68,0
2024-07-01 00:02:00,3770.85,3771.15,3768.72,3771.13,59,29,0
2024-07-01 00:03:00,3771.2,3771.47,3771.08,3771.46,59,224,0
2024-07-01 00:04:00,3771.41,3772.63,3771.34,3772.5,58,310,0
2024-07-01 00:05:00,3772.54,3772.7,3771.97,3772.64,58,318,0
2024-07-01 00:06:00,3772.68,3773.2,3772.53,3773.2,57,451,0
2024-07-01 00:07:00,3773.21,3773.21,3772.58,3772.88,56,343,0
2024-07-01 00:08:00,3772.93,3773.08,3772.55,3772.65,56,245,0
2024-07-01 00:09:00,3772.72,3773.77,3772.72,3773.77,54,308,0
2024-07-01 00:10:00,3773.95,3774.37,3773.81,3774.06,58,430,0
2024-07-01 00:11:00,3774.08,3774.37,3773.95,3774.22,58,412,0
2024-07-01 00:12:00,3774.18,3774.39,3773.18,3773.59,59,31,0
2024-07-01 00:13:00,3773.56,3773.56,3771.89,3773.53,58,28,0
2024-07-01 00:14:00,3773.46,3774.01,3773.33,3773.59,57,53,0
2024-07-01 00:15:00,3773.66,3773.87,3773.3,3773.39,51,28,0
2024-07-01 00:16:00,3773.48,3773.48,3770.97,3772.11,60,31,0
2024-07-01 00:17:00,3772.07,3773.03,3771.41,3772.36,60,43,0
2024-07-01 00:18:00,3772.41,3773.42,3771.76,3772.09,59,28,0
2024-07-01 00:19:00,3772.31,3772.91,3770.99,3771.25,59,45,0
2024-07-01 00:20:00,3770.87,3773.98,3770.67,3773.98,58,28,0
2024-07-01 00:21:00,3774.03,3775.46,3774.03,3775.4,57,216,0
2024-07-01 00:22:00,3775.44,3776.38,3775.44,3775.97,57,461,0
2024-07-01 00:23:00,3775.98,3776.15,3771.87,3771.87,57,38,0
2024-07-01 00:24:00,3772.63,3773.59,3770.45,3772.97,59,133,0
2024-07-01 00:25:00,3772.61,3772.84,3771.16,3771.93,60,188,0
2024-07-01 00:26:00,3771.69,3775.69,3771.65,3775.29,58,27,0
2024-07-01 00:27:00,3775.33,3776.56,3775.24,3776.56,59,156,0
2024-07-01 00:28:00,3776.6,3778.16,3776.55,3777.96,57,443,0
2024-07-01 00:29:00,3777.95,3778.77,3777.95,3778.42,57,523,0
2024-07-01 00:30:00,3778.49,3779.05,3778.23,3778.51,55,396,0
2024-07-01 00:31:00,3778.45,3780.52,3778.4,3780.52,58,446,0
2024-07-01 00:32:00,3780.67,3781.14,3780.26,3780.89,60,549,0
2024-07-01 00:33:00,3780.78,3782.0,3780.78,3782.0,56,557,0
2024-07-01 00:34:00,3782.04,3782.8,3782.04,3782.5,53,537,0
2024-07-01 00:35:00,3782.55,3783.83,3782.43,3783.77,57,535,0
2024-07-01 00:36:00,3783.76,3784.44,3783.73,3784.12,57,529,0
2024-07-01 00:37:00,3784.1,3785.13,3784.1,3784.89,59,529,0
2024-07-01 00:38:00,3784.95,3785.69,3784.75,3785.54,56,531,0
2024-07-01 00:39:00,3785.57,3786.09,3785.42,3785.85,55,503,0
2024-07-01 00:40:00,3785.93,3786.85,3785.71,3786.56,55,511,0
2024-07-01 00:41:00,3786.53,3787.31,3786.42,3787.15,57,518,0
2024-07-01 00:42:00,3787.09,3787.88,3786.94,3787.88,58,508,0
2024-07-01 00:43:00,3787.98,3788.08,3787.66,3787.66,58,477,0
2024-07-01 00:44:00,3787.61,3788.05,3787.45,3787.94,59,393,0
2024-07-01 00:45:00,3787.87,3788.83,3787.47,3788.27,55,332,0
2024-07-01 00:46:00,3788.3,3789.07,3788.28,3788.95,50,483,0
2024-07-01 00:47:00,3788.91,3789.21,3788.34,3788.34,57,296,0
2024-07-01 00:48:00,3788.37,3789.77,3788.31,3789.27,58,283,0
2024-07-01 00:49:00,3789.43,3789.79,3789.19,3789.79,57,463,0
2024-07-01 00:50:00,3789.87,3789.92,3789.37,3789.73,55,391,0
