time,open,high,low,close,tick_volume,spread,real_volume
2023-12-28 00:00:00,96.931,96.964,96.902,96.916,568,7,0
2023-12-28 00:05:00,96.916,96.921,96.785,96.826,634,7,0
2023-12-28 00:10:00,96.826,96.856,96.784,96.844,480,7,0
2023-12-28 00:15:00,96.844,96.904,96.844,96.876,390,7,0
2023-12-28 00:20:00,96.876,96.894,96.818,96.894,417,7,0
2023-12-28 00:25:00,96.894,96.905,96.845,96.888,409,7,0
2023-12-28 00:30:00,96.888,96.949,96.882,96.944,295,7,0
2023-12-28 00:35:00,96.944,96.986,96.94,96.953,354,7,0
2023-12-28 00:40:00,96.953,96.961,96.934,96.943,205,7,0
2023-12-28 00:45:00,96.943,96.954,96.916,96.921,316,7,0
2023-12-28 00:50:00,96.921,97.228,96.914,97.205,1057,7,0
2023-12-28 00:55:00,97.208,97.236,97.096,97.114,790,7,0
2023-12-28 01:00:00,97.114,97.129,97.076,97.107,510,7,0
2023-12-28 01:05:00,97.107,97.11,97.078,97.084,362,7,0
2023-12-28 01:10:00,97.084,97.14,97.059,97.103,376,7,0
2023-12-28 01:15:00,97.103,97.173,97.1,97.163,346,7,0
2023-12-28 01:20:00,97.163,97.174,97.106,97.147,452,7,0
2023-12-28 01:25:00,97.147,97.158,97.103,97.116,421,7,0
2023-12-28 01:30:00,97.116,97.167,97.101,97.137,531,7,0
2023-12-28 01:35:00,97.137,97.151,97.112,97.138,477,7,0
2023-12-28 01:40:00,97.138,97.181,97.121,97.164,455,7,0
2023-12-28 01:45:00,97.163,97.18,97.144,97.159,334,7,0
2023-12-28 01:50:00,97.159,97.196,97.155,97.157,438,7,0
2023-12-28 01:55:00,97.157,97.169,97.141,97.144,427,7,0
2023-12-28 02:00:00,97.142,97.152,97.081,97.084,505,7,0
2023-12-28 02:05:00,97.084,97.095,97.058,97.067,481,7,0
2023-12-28 02:10:00,97.067,97.081,97.029,97.076,399,7,0
2023-12-28 02:15:00,97.076,97.097,97.048,97.048,316,7,0
2023-12-28 02:20:00,97.048,97.067,97.006,97.016,262,7,0
2023-12-28 02:25:00,97.016,97.06,97.007,97.058,371,7,0
2023-12-28 02:30:00,97.058,97.073,97.023,97.03,325,7,0
2023-12-28 02:35:00,97.03,97.035,96.971,96.973,315,7,0
2023-12-28 02:40:00,96.974,96.978,96.913,96.925,272,7,0
2023-12-28 02:45:00,96.926,96.926,96.828,96.884,380,7,0
2023-12-28 02:50:00,96.884,96.918,96.874,96.912,260,7,0
2023-12-28 02:55:00,96.912,96.947,96.864,96.899,525,7,0
2023-12-28 03:00:00,96.899,96.965,96.88,96.952,495,7,0
2023-12-28 03:05:00,96.952,96.953,96.919,96.952,266,7,0
2023-12-28 03:10:00,96.952,96.952,96.921,96.935,264,7,0
2023-12-28 03:15:00,96.935,96.971,96.924,96.952,263,7,0
2023-12-28 03:20:00,96.952,96.961,96.928,96.941,228,7,0
2023-12-28 03:25:00,96.941,96.959,96.906,96.906,253,7,0
2023-12-28 03:30:00,96.907,96.978,96.907,96.946,309,7,0
2023-12-28 03:35:00,96.946,96.961,96.925,96.945,223,7,0
2023-12-28 03:40:00,96.945,96.952,96.925,96.932,229,7,0
2023-12-28 03:45:00,96.933,96.937,96.891,96.906,280,7,0
2023-12-28 03:50:00,96.906,96.929,96.894,96.923,259,7,0
2023-12-28 03:55:00,96.923,96.941,96.908,96.932,130,7,0
2023-12-28 04:00:00,96.932,96.939,96.897,96.898,176,7,0
2023-12-28 04:05:00,96.898,96.898,96.851,96.867,164,7,0
2023-12-28 04:10:00,96.867,96.869,96.83,96.841,219,7,0
2023-12-28 04:15:00,96.841,96.866,96.837,96.843,212,7,0
2023-12-28 04:20:00,96.843,96.86,96.82,96.86,234,7,0
2023-12-28 04:25:00,96.86,96.86,96.812,96.818,235,7,0
2023-12-28 04:30:00,96.818,96.827,96.808,96.811,198,7,0
2023-12-28 04:35:00,96.811,96.811,96.669,96.669,328,7,0
2023-12-28 04:40:00,96.668,96.681,96.626,96.629,498,7,0
2023-12-28 04:45:00,96.629,96.629,96.56,96.57,392,7,0
2023-12-28 04:50:00,96.57,96.597,96.551,96.561,356,7,0
2023-12-28 04:55:00,96.561,96.618,96.56,96.614,429,7,0
2023-12-28 05:00:00,96.614,96.679,96.606,96.659,563,7,0
2023-12-28 05:05:00,96.658,96.695,96.65,96.694,517,7,0
2023-12-28 05:10:00,96.694,96.736,96.672,96.727,321,7,0
2023-12-28 05:15:00,96.727,96.763,96.709,96.75,259,7,0
2023-12-28 05:20:00,96.75,96.787,96.714,96.719,318,7,0
2023-12-28 05:25:00,96.719,96.74,96.706,96.717,456,7,0
2023-12-28 05:30:00,96.718,96.725,96.679,96.699,377,7,0
2023-12-28 05:35:00,96.701,96.701,96.65,96.678,463,7,0
2023-12-28 05:40:00,96.678,96.679,96.648,96.654,314,7,0
2023-12-28 05:45:00,96.655,96.669,96.649,96.664,321,7,0
2023-12-28 05:50:00,96.664,96.692,96.651,96.691,401,7,0
2023-12-28 05:55:00,96.691,96.694,96.593,96.644,688,7,0
2023-12-28 06:00:00,96.644,96.71,96.622,96.682,687,7,0
2023-12-28 06:05:00,96.682,96.693,96.637,96.663,597,7,0
2023-12-28 06:10:00,96.664,96.664,96.61,96.615,544,7,0
2023-12-28 06:15:00,96.614,96.681,96.599,96.667,532,7,0
2023-12-28 06:20:00,96.667,96.702,96.657,96.676,439,7,0
2023-12-28 06:25:00,96.677,96.69,96.622,96.625,387,7,0
2023-12-28 06:30:00,96.626,96.639,96.608,96.621,429,7,0
2023-12-28 06:35:00,96.621,96.646,96.593,96.615,425,7,0
2023-12-28 06:40:00,96.615,96.652,96.614,96.645,386,7,0
2023-12-28 06:45:00,96.645,96.656,96.624,96.626,354,7,0
2023-12-28 06:50:00,96.626,96.656,96.624,96.636,260,7,0
2023-12-28 06:55:00,96.636,96.65,96.618,96.643,283,7,0
2023-12-28 07:00:00,96.643,96.671,96.538,96.569,647,7,0
2023-12-28 07:05:00,96.569,96.571,96.45,96.481,659,7,0
2023-12-28 07:10:00,96.481,96.497,96.452,96.48,782,7,0
2023-12-28 07:15:00,96.48,96.487,96.396,96.398,498,7,0
2023-12-28 07:20:00,96.398,96.455,96.392,96.436,395,7,0
2023-12-28 07:25:00,96.436,96.475,96.429,96.441,282,7,0
2023-12-28 07:30:00,96.441,96.48,96.427,96.474,393,7,0
2023-12-28 07:35:00,96.474,96.48,96.423,96.423,350,7,0
2023-12-28 07:40:00,96.423,96.504,96.415,96.475,444,7,0
2023-12-28 07:45:00,96.475,96.505,96.468,96.475,358,7,0
2023-12-28 07:50:00,96.475,96.506,96.467,96.494,305,7,0
2023-12-28 07:55:00,96.493,96.52,96.48,96.495,432,7,0
2023-12-28 08:00:00,96.495,96.497,96.432,96.453,623,7,0
2023-12-28 08:05:00,96.453,96.476,96.431,96.441,434,7,0
2023-12-28 08:10:00,96.441,96.478,96.441,96.447,438,7,0
