time,open,high,low,close,tick_volume,spread,real_volume
2024-01-01 00:00:00,11421.43,11434.09,11417.03,11431.7,292,108,0
2024-01-01 00:05:00,11430.79,11436.77,11427.57,11435.03,299,108,0
2024-01-01 00:10:00,11435.16,11437.76,11414.77,11415.08,298,112,0
2024-01-01 00:15:00,11414.67,11422.93,11407.06,11407.59,297,125,0
2024-01-01 00:20:00,11407.06,11411.16,11393.92,11394.42,299,814,0
2024-01-01 00:25:00,11394.92,11402.04,11384.8,11386.02,299,549,0
2024-01-01 00:30:00,11386.44,11392.12,11378.83,11382.21,298,572,0
2024-01-01 00:35:00,11382.15,11392.96,11379.24,11390.35,298,108,0
2024-01-01 00:40:00,11390.64,11392.31,11385.01,11385.9,295,107,0
2024-01-01 00:45:00,11385.72,11387.64,11374.46,11381.26,298,107,0
2024-01-01 00:50:00,11380.83,11384.89,11377.19,11381.81,297,107,0
2024-01-01 00:55:00,11380.41,11383.08,11373.06,11376.01,297,107,0
2024-01-01 01:00:00,11376.1,11385.86,11375.48,11384.15,299,107,0
2024-01-01 01:05:00,11384.29,11384.29,11375.1,11378.08,298,107,0
2024-01-01 01:10:00,11378.18,11385.3,11376.25,11385.3,295,107,0
2024-01-01 01:15:00,11385.09,11386.04,11372.28,11374.6,298,109,0
2024-01-01 01:20:00,11372.82,11382.63,11368.63,11382.24,299,108,0
2024-01-01 01:25:00,11382.44,11394.22,11382.27,11394.16,295,375,0
2024-01-01 01:30:00,11394.06,11405.19,11393.29,11404.69,298,713,0
2024-01-01 01:35:00,11404.18,11411.67,11404.16,11411.67,292,110,0
2024-01-01 01:40:00,11411.93,11416.26,11404.26,11404.44,298,107,0
2024-01-01 01:45:00,11403.2,11415.42,11402.47,11415.09,298,107,0
2024-01-01 01:50:00,11414.81,11419.29,11410.86,11412.36,292,107,0
2024-01-01 01:55:00,11413.96,11416.29,11404.17,11408.96,295,117,0
2024-01-01 02:00:00,11408.98,11419.1,11407.85,11418.34,296,107,0
2024-01-01 02:05:00,11418.12,11422.68,11414.11,11417.62,298,113,0
2024-01-01 02:10:00,11417.0,11423.97,11415.34,11423.97,299,108,0
2024-01-01 02:15:00,11423.91,11430.24,11409.98,11413.21,293,123,0
2024-01-01 02:20:00,11411.82,11412.41,11396.4,11398.32,300,114,0
2024-01-01 02:25:00,11397.98,11403.24,11383.52,11383.54,298,493,0
2024-01-01 02:30:00,11383.07,11404.33,11382.19,11404.33,296,126,0
2024-01-01 02:35:00,11404.45,11405.12,11398.69,11404.71,295,107,0
2024-01-01 02:40:00,11404.46,11407.3,11396.28,11396.28,297,107,0
2024-01-01 02:45:00,11395.77,11397.23,11376.9,11377.39,296,615,0
2024-01-01 02:50:00,11377.43,11379.35,11364.23,11366.52,298,969,0
2024-01-01 02:55:00,11365.2,11371.25,11353.48,11360.7,298,518,0
2024-01-01 03:00:00,11358.49,11370.78,11354.56,11369.46,296,108,0
2024-01-01 03:05:00,11369.14,11369.39,11359.23,11363.26,297,107,0
2024-01-01 03:10:00,11363.3,11372.36,11361.73,11369.87,293,107,0
2024-01-01 03:15:00,11368.79,11371.78,11363.48,11371.67,297,107,0
2024-01-01 03:20:00,11371.67,11382.62,11368.36,11373.53,296,108,0
2024-01-01 03:25:00,11372.83,11379.11,11361.94,11371.47,300,124,0
2024-01-01 03:30:00,11372.55,11377.1,11364.05,11372.01,298,107,0
2024-01-01 03:35:00,11371.92,11375.55,11368.01,11375.45,298,107,0
2024-01-01 03:40:00,11375.5,11384.26,11375.05,11383.43,294,208,0
2024-01-01 03:45:00,11383.37,11392.06,11383.06,11389.65,298,217,0
2024-01-01 03:50:00,11390.14,11398.77,11389.92,11398.56,290,390,0
2024-01-01 03:55:00,11398.88,11399.08,11385.88,11393.05,295,107,0
2024-01-01 04:00:00,11392.03,11393.73,11387.41,11393.08,297,107,0
2024-01-01 04:05:00,11392.95,11403.31,11390.57,11402.76,294,107,0
2024-01-01 04:10:00,11403.14,11416.54,11403.1,11416.12,297,805,0
2024-01-01 04:15:00,11416.39,11428.82,11414.82,11428.46,291,495,0
2024-01-01 04:20:00,11428.59,11440.46,11425.93,11440.46,295,111,0
2024-01-01 04:25:00,11440.15,11449.73,11439.85,11449.37,292,818,0
2024-01-01 04:30:00,11449.27,11449.82,11437.77,11448.82,293,110,0
2024-01-01 04:35:00,11448.86,11451.55,11433.7,11435.24,296,107,0
2024-01-01 04:40:00,11435.85,11444.61,11428.62,11442.09,299,107,0
2024-01-01 04:45:00,11441.29,11445.8,11432.23,11445.63,296,107,0
2024-01-01 04:50:00,11446.14,11454.34,11446.14,11454.34,292,622,0
2024-01-01 04:55:00,11454.41,11457.83,11443.43,11448.45,295,111,0
2024-01-01 05:00:00,11448.37,11459.72,11448.37,11451.76,299,111,0
2024-01-01 05:05:00,11451.74,11456.45,11438.85,11456.44,297,107,0
2024-01-01 05:10:00,11456.75,11463.56,11449.79,11454.4,295,131,0
2024-01-01 05:15:00,11454.72,11461.43,11444.01,11446.12,298,109,0
2024-01-01 05:20:00,11445.38,11445.38,11429.94,11431.35,297,741,0
2024-01-01 05:25:00,11431.02,11437.93,11415.9,11416.21,299,615,0
2024-01-01 05:30:00,11416.52,11416.52,11398.4,11398.4,298,1050,0
2024-01-01 05:35:00,11398.15,11398.57,11384.48,11386.77,297,1072,0
2024-01-01 05:40:00,11386.77,11390.24,11374.56,11378.87,296,157,0
2024-01-01 05:45:00,11378.21,11379.55,11356.28,11356.86,296,873,0
2024-01-01 05:50:00,11356.79,11360.8,11346.04,11347.6,297,663,0
2024-01-01 05:55:00,11347.98,11355.6,11340.12,11343.06,296,107,0
2024-01-01 06:00:00,11342.21,11345.23,11327.51,11327.51,298,669,0
2024-01-01 06:05:00,11327.43,11342.05,11321.12,11341.95,297,147,0
2024-01-01 06:10:00,11341.97,11352.15,11341.91,11352.04,294,633,0
2024-01-01 06:15:00,11351.94,11365.94,11351.94,11365.77,293,979,0
2024-01-01 06:20:00,11365.69,11374.46,11365.36,11373.49,299,751,0
2024-01-01 06:25:00,11373.25,11384.91,11372.89,11384.32,295,665,0
2024-01-01 06:30:00,11384.48,11385.98,11356.56,11357.42,299,108,0
2024-01-01 06:35:00,11356.69,11357.84,11344.68,11344.91,298,710,0
