time,open,high,low,close,tick_volume,spread,real_volume
2024-01-01 00:00:00,577.1,577.27,575.04,576.87,292,13,0
2024-01-01 00:05:00,576.75,578.57,576.38,578.01,281,13,0
2024-01-01 00:10:00,578.24,578.7,576.43,576.53,286,13,0
2024-01-01 00:15:00,576.51,577.16,567.95,567.95,291,13,0
2024-01-01 00:20:00,567.96,567.96,564.93,565.38,283,13,0
2024-01-01 00:25:00,565.35,565.45,562.69,563.57,281,13,0
2024-01-01 00:30:00,563.61,566.03,563.54,564.87,289,13,0
2024-01-01 00:35:00,564.79,564.79,561.76,562.18,287,13,0
2024-01-01 00:40:00,562.02,563.4,560.63,561.0,290,13,0
2024-01-01 00:45:00,561.18,563.7,561.1,562.59,290,13,0
2024-01-01 00:50:00,562.53,563.19,561.22,562.5,292,13,0
2024-01-01 00:55:00,562.58,563.62,562.22,562.43,293,13,0
2024-01-01 01:00:00,562.46,563.4,559.3,560.15,291,13,0
2024-01-01 01:05:00,560.22,563.01,559.94,560.2,286,13,0
2024-01-01 01:10:00,560.21,560.98,559.22,560.78,292,13,0
2024-01-01 01:15:00,560.82,561.31,559.48,559.54,283,13,0
2024-01-01 01:20:00,559.67,563.33,559.56,562.55,289,13,0
2024-01-01 01:25:00,562.63,567.16,562.63,566.19,290,13,0
2024-01-01 01:30:00,566.25,566.55,563.76,564.76,285,13,0
2024-01-01 01:35:00,564.76,566.3,563.66,563.8,290,13,0
2024-01-01 01:40:00,563.68,566.24,562.18,562.65,288,13,0
2024-01-01 01:45:00,562.8,564.47,562.47,563.95,284,13,0
2024-01-01 01:50:00,564.03,564.35,562.65,563.35,288,13,0
2024-01-01 01:55:00,563.37,563.89,561.86,563.21,288,13,0
2024-01-01 02:00:00,563.12,564.81,562.22,564.31,289,13,0
2024-01-01 02:05:00,564.38,565.22,563.62,565.03,284,13,0
2024-01-01 02:10:00,565.26,567.41,564.71,566.55,287,13,0
2024-01-01 02:15:00,566.57,567.4,564.8,566.69,280,13,0
2024-01-01 02:20:00,566.61,569.29,564.86,565.71,289,13,0
2024-01-01 02:25:00,565.73,566.48,564.61,565.76,289,13,0
2024-01-01 02:30:00,565.89,567.0,564.96,565.64,289,13,0
2024-01-01 02:35:00,565.7,566.98,564.79,566.11,285,13,0
2024-01-01 02:40:00,566.13,566.37,564.25,564.25,292,13,0
2024-01-01 02:45:00,564.47,564.49,562.48,562.65,285,13,0
2024-01-01 02:50:00,562.63,564.1,562.11,563.0,295,13,0
2024-01-01 02:55:00,562.96,564.04,562.15,562.37,288,13,0
2024-01-01 03:00:00,562.22,562.22,559.66,561.33,293,13,0
2024-01-01 03:05:00,561.43,562.93,560.74,562.9,288,13,0
2024-01-01 03:10:00,562.81,563.14,560.59,561.5,288,13,0
2024-01-01 03:15:00,561.39,565.13,560.81,565.13,293,13,0
2024-01-01 03:20:00,565.15,566.0,564.34,566.0,293,13,0
2024-01-01 03:25:00,566.05,567.67,565.37,565.37,292,13,0
2024-01-01 03:30:00,565.39,565.48,563.85,564.73,286,13,0
2024-01-01 03:35:00,564.81,565.49,563.41,563.74,292,13,0
2024-01-01 03:40:00,563.73,564.22,561.98,564.22,282,13,0
2024-01-01 03:45:00,564.41,564.81,563.15,564.66,283,13,0
2024-01-01 03:50:00,564.66,564.87,562.66,562.87,286,13,0
2024-01-01 03:55:00,562.89,562.9,555.52,556.15,287,13,0
2024-01-01 04:00:00,556.35,558.92,556.27,557.61,290,13,0
2024-01-01 04:05:00,557.67,559.36,556.34,559.19,287,13,0
2024-01-01 04:10:00,559.24,564.45,559.19,564.44,286,13,0
2024-01-01 04:15:00,564.53,565.64,563.81,565.31,290,13,0
2024-01-01 04:20:00,565.31,566.77,564.8,565.34,282,13,0
2024-01-01 04:25:00,565.18,565.46,563.17,563.94,285,13,0
2024-01-01 04:30:00,563.96,565.99,563.31,565.75,296,13,0
2024-01-01 04:35:00,565.61,565.93,562.22,562.22,291,13,0
2024-01-01 04:40:00,562.18,563.58,560.37,560.53,286,13,0
2024-01-01 04:45:00,560.57,564.39,559.76,559.76,293,13,0
2024-01-01 04:50:00,559.76,561.75,559.19,561.75,291,13,0
2024-01-01 04:55:00,561.79,569.45,561.31,568.88,287,13,0
2024-01-01 05:00:00,569.0,569.38,567.38,568.04,286,13,0
2024-01-01 05:05:00,567.89,570.13,566.37,566.47,287,13,0
2024-01-01 05:10:00,566.55,569.74,566.2,568.91,284,13,0
2024-01-01 05:15:00,568.93,570.25,567.8,568.89,288,13,0
2024-01-01 05:20:00,568.79,569.63,567.62,567.77,284,13,0
2024-01-01 05:25:00,567.76,574.75,567.76,574.75,290,13,0
2024-01-01 05:30:00,574.64,575.8,574.22,575.23,289,13,0
2024-01-01 05:35:00,575.28,575.28,573.24,573.3,288,13,0
2024-01-01 05:40:00,573.29,576.98,572.98,576.25,289,13,0
2024-01-01 05:45:00,576.28,577.73,575.88,577.21,288,13,0
2024-01-01 05:50:00,577.2,577.63,574.22,576.09,291,13,0
2024-01-01 05:55:00,576.17,578.42,574.36,577.7,296,13,0
2024-01-01 06:00:00,577.77,579.61,577.03,577.64,294,13,0
2024-01-01 06:05:00,577.73,581.41,576.96,581.18,288,13,0
2024-01-01 06:10:00,581.26,583.4,581.23,582.29,289,13,0
2024-01-01 06:15:00,582.25,583.18,581.32,582.5,293,13,0
2024-01-01 06:20:00,582.42,585.38,582.31,582.91,293,13,0
2024-01-01 06:25:00,583.08,583.31,581.29,581.52,287,13,0
2024-01-01 06:30:00,581.4,590.87,581.08,590.79,290,13,0
2024-01-01 06:35:00,590.78,594.53,590.73,592.05,289,13,0
2024-01-01 06:40:00,592.12,593.04,590.84,591.82,285,13,0
2024-01-01 06:45:00,591.79,593.27,591.4,592.49,292,13,0
2024-01-01 06:50:00,592.54,606.41,592.3,605.58,288,13,0
2024-01-01 06:55:00,605.59,610.08,605.57,609.22,295,14,0
2024-01-01 07:00:00,609.1,612.28,608.38,611.83,293,14,0
2024-01-01 07:05:00,611.93,613.87,610.83,612.07,289,14,0
2024-01-01 07:10:00,611.91,624.57,611.46,624.37,291,14,0
2024-01-01 07:15:00,624.47,625.19,623.43,623.78,288,14,0
2024-01-01 07:20:00,623.86,625.79,622.67,622.67,287,14,0
2024-01-01 07:25:00,622.69,623.63,619.92,620.24,286,14,0
2024-01-01 07:30:00,620.04,620.92,618.2,619.21,296,14,0
2024-01-01 07:35:00,619.34,620.89,615.79,616.53,295,14,0
2024-01-01 07:40:00,616.56,618.13,615.47,617.94,286,14,0
2024-01-01 07:45:00,617.83,620.72,617.64,620.5,294,14,0
2024-01-01 07:50:00,620.5,620.83,616.14,616.64,289,14,0
2024-01-01 07:55:00,616.6,616.94,614.2,615.08,291,14,0
2024-01-01 08:00:00,615.14,616.32,613.87,616.13,293,14,0
2024-01-01 08:05:00,616.17,616.59,614.07,616.21,286,14,0
2024-01-01 08:10:00,616.15,622.22,615.27,621.23,293,14,0
2024-01-01 08:15:00,621.25,621.32,619.27,620.94,288,14,0
2024-01-01 08:20:00,620.84,621.23,617.7,618.1,289,14,0
2024-01-01 08:25:00,618.23,619.11,617.8,618.37,288,14,0
2024-01-01 08:30:00,618.27,620.68,616.61,619.52,287,14,0
2024-01-01 08:35:00,619.61,625.06,619.28,624.75,292,14,0
2024-01-01 08:40:00,624.73,626.2,624.12,625.19,294,14,0
2024-01-01 08:45:00,625.15,626.08,624.24,624.88,289,14,0
2024-01-01 08:50:00,625.01,625.86,623.03,623.73,289,14,0
2024-01-01 08:55:00,623.9,626.19,623.88,624.17,288,14,0
2024-01-01 09:00:00,624.35,625.88,623.57,624.03,289,14,0
2024-01-01 09:05:00,624.16,624.56,620.44,620.5,290,14,0
2024-01-01 09:10:00,620.58,621.47,619.31,620.3,289,14,0
2024-01-01 09:15:00,620.3,621.46,618.53,618.53,294,14,0
2024-01-01 09:20:00,618.6,620.07,617.09,617.3,289,14,0
2024-01-01 09:25:00,617.34,618.06,615.51,616.9,288,14,0
2024-01-01 09:30:00,616.77,618.18,616.11,616.61,294,14,0
2024-01-01 09:35:00,616.74,618.07,615.9,616.66,284,14,0
2024-01-01 09:40:00,616.46,618.62,616.03,618.23,297,14,0
2024-01-01 09:45:00,618.24,621.81,617.92,620.99,288,14,0
2024-01-01 09:50:00,620.9,621.15,618.01,618.06,292,14,0
2024-01-01 09:55:00,617.92,619.22,616.36,618.8,288,14,0
2024-01-01 10:00:00,618.9,620.94,617.83,620.81,290,14,0
2024-01-01 10:05:00,620.75,624.58,620.75,624.46,284,14,0
2024-01-01 10:10:00,624.56,632.89,624.21,632.74,289,14,0
2024-01-01 10:15:00,632.93,633.22,631.31,632.21,290,14,0
2024-01-01 10:20:00,632.15,635.98,631.84,634.98,293,14,0
2024-01-01 10:25:00,635.0,636.9,634.58,635.6,289,14,0
2024-01-01 10:30:00,635.69,639.18,635.54,637.93,292,15,0
2024-01-01 10:35:00,638.03,640.3,636.17,639.92,288,15,0
2024-01-01 10:40:00,639.87,640.54,638.15,638.65,290,15,0
2024-01-01 10:45:00,638.51,638.84,630.75,631.71,292,14,0
2024-01-01 10:50:00,631.67,633.16,629.74,630.33,292,14,0
2024-01-01 10:55:00,630.31,630.76,627.69,628.21,285,14,0
2024-01-01 11:00:00,628.05,629.76,627.28,629.49,295,14,0
2024-01-01 11:05:00,629.52,629.84,625.87,626.43,284,14,0
2024-01-01 11:10:00,626.21,627.55,622.89,623.69,290,14,0
2024-01-01 11:15:00,623.6,624.59,621.16,621.19,293,14,0
2024-01-01 11:20:00,621.38,621.84,619.18,620.24,293,14,0
2024-01-01 11:25:00,620.32,620.65,618.61,618.61,291,14,0
2024-01-01 11:30:00,618.6,620.15,614.96,614.97,289,14,0
2024-01-01 11:35:00,614.87,618.07,614.8,616.37,288,14,0
2024-01-01 11:40:00,616.47,620.02,616.08,617.78,292,14,0
2024-01-01 11:45:00,617.76,618.1,615.31,616.0,290,14,0
2024-01-01 11:50:00,616.18,617.42,614.54,614.68,293,14,0
2024-01-01 11:55:00,614.67,615.16,612.23,614.86,290,14,0
2024-01-01 12:00:00,614.76,615.76,612.21,612.21,293,14,0
2024-01-01 12:05:00,612.29,613.58,610.38,610.5,286,14,0
2024-01-01 12:10:00,610.37,611.07,608.11,609.3,288,14,0
2024-01-01 12:15:00,609.27,609.27,604.41,604.41,290,14,0
2024-01-01 12:20:00,604.33,607.18,604.27,606.68,288,14,0
2024-01-01 12:25:00,606.67,607.7,604.26,604.62,289,14,0
2024-01-01 12:30:00,604.68,605.28,601.82,601.89,290,14,0
2024-01-01 12:35:00,601.77,604.67,601.77,603.8,291,14,0
2024-01-01 12:40:00,603.77,604.72,603.21,604.69,291,14,0
2024-01-01 12:45:00,604.54,606.01,601.83,602.6,289,14,0
2024-01-01 12:50:00,602.64,602.86,600.23,601.98,294,14,0
2024-01-01 12:55:00,602.0,602.32,600.28,600.28,289,14,0
2024-01-01 13:00:00,600.18,600.69,598.38,598.97,285,14,0
2024-01-01 13:05:00,598.95,599.7,596.62,597.46,294,14,0
2024-01-01 13:10:00,597.4,600.96,597.16,600.96,293,14,0
2024-01-01 13:15:00,601.19,602.1,599.44,600.19,291,14,0
2024-01-01 13:20:00,600.18,600.45,598.76,599.39,287,14,0
2024-01-01 13:25:00,599.17,599.32,597.37,599.08,291,14,0
2024-01-01 13:30:00,599.12,599.12,596.64,597.42,291,14,0
2024-01-01 13:35:00,597.48,600.17,596.73,599.57,291,14,0
2024-01-01 13:40:00,599.53,601.96,597.98,598.67,286,14,0
2024-01-01 13:45:00,598.72,598.72,594.84,595.57,293,14,0
2024-01-01 13:50:00,595.57,595.7,593.93,594.73,289,14,0
2024-01-01 13:55:00,594.8,597.95,594.8,597.66,287,14,0
2024-01-01 14:00:00,597.71,597.9,594.51,595.06,290,14,0
2024-01-01 14:05:00,595.19,595.35,590.68,591.68,288,13,0
2024-01-01 14:10:00,591.69,594.3,591.69,593.9,292,14,0
2024-01-01 14:15:00,594.02,600.05,593.9,598.35,286,14,0
2024-01-01 14:20:00,598.23,598.82,595.81,596.42,287,14,0
2024-01-01 14:25:00,596.45,598.14,595.6,596.27,289,14,0
2024-01-01 14:30:00,596.16,596.5,594.3,594.62,287,14,0
2024-01-01 14:35:00,594.66,596.92,594.47,596.76,284,14,0
2024-01-01 14:40:00,596.56,597.84,593.6,594.24,292,14,0
2024-01-01 14:45:00,594.31,595.39,593.34,594.74,293,14,0
2024-01-01 14:50:00,594.8,596.39,594.8,596.21,284,14,0
2024-01-01 14:55:00,596.15,596.15,590.46,590.75,293,13,0
2024-01-01 15:00:00,590.75,591.13,588.83,589.31,285,13,0
2024-01-01 15:05:00,589.29,591.45,588.71,591.15,293,13,0
2024-01-01 15:10:00,591.15,592.61,590.87,591.94,288,13,0
2024-01-01 15:15:00,591.88,594.48,591.65,594.43,291,13,0
2024-01-01 15:20:00,594.47,596.45,594.21,596.37,286,14,0
2024-01-01 15:25:00,596.32,597.45,595.21,596.01,291,14,0
2024-01-01 15:30:00,596.2,596.62,592.64,592.8,290,13,0
2024-01-01 15:35:00,592.79,594.78,591.9,593.77,286,13,0
2024-01-01 15:40:00,593.66,594.03,590.03,590.86,280,13,0
2024-01-01 15:45:00,590.73,598.93,590.73,596.89,293,13,0
2024-01-01 15:50:00,596.93,599.4,596.73,597.14,292,14,0
2024-01-01 15:55:00,597.13,599.62,595.84,598.31,293,14,0
2024-01-01 16:00:00,598.32,599.58,596.53,599.58,289,14,0
2024-01-01 16:05:00,599.56,599.68,597.57,598.63,289,14,0
2024-01-01 16:10:00,598.55,599.01,597.15,598.54,288,14,0
2024-01-01 16:15:00,598.72,603.38,597.89,603.1,291,14,0
2024-01-01 16:20:00,603.19,604.32,601.93,604.32,292,14,0
2024-01-01 16:25:00,604.51,605.58,603.65,603.71,285,14,0
2024-01-01 16:30:00,603.65,609.23,603.65,609.03,285,14,0
2024-01-01 16:35:00,609.0,609.24,606.35,608.55,290,14,0
2024-01-01 16:40:00,608.46,609.34,607.58,608.3,290,14,0
2024-01-01 16:45:00,608.19,611.95,608.15,611.72,291,14,0
2024-01-01 16:50:00,611.62,611.85,608.14,608.69,290,14,0
2024-01-01 16:55:00,608.74,611.74,608.74,611.68,288,14,0
2024-01-01 17:00:00,611.54,613.39,610.69,611.18,294,14,0
2024-01-01 17:05:00,611.12,617.97,611.12,617.7,292,14,0
2024-01-01 17:10:00,617.58,619.61,615.77,615.77,285,14,0
2024-01-01 17:15:00,615.74,615.83,613.92,614.74,286,14,0
2024-01-01 17:20:00,614.75,615.9,614.1,615.05,288,14,0
2024-01-01 17:25:00,614.88,618.05,614.72,617.66,285,14,0
2024-01-01 17:30:00,617.74,618.42,615.98,618.25,294,14,0
2024-01-01 17:35:00,618.22,627.44,617.93,627.14,291,14,0
2024-01-01 17:40:00,627.19,631.24,625.83,631.13,295,14,0
2024-01-01 17:45:00,631.2,631.56,623.67,624.09,289,14,0
2024-01-01 17:50:00,624.13,624.66,622.51,622.65,287,14,0
2024-01-01 17:55:00,622.58,624.22,622.0,623.24,290,14,0
2024-01-01 18:00:00,622.95,623.46,620.09,621.09,290,14,0
2024-01-01 18:05:00,621.14,625.53,620.86,624.58,283,14,0
2024-01-01 18:10:00,624.39,625.31,620.1,621.85,294,14,0
2024-01-01 18:15:00,621.91,622.96,621.22,621.98,285,14,0
2024-01-01 18:20:00,621.81,621.93,619.46,620.36,292,14,0
