time,open,high,low,close,tick_volume,spread,real_volume
2024-07-01 00:00:00,0.54908,0.54913,0.54869,0.54873,394,3,0
2024-07-01 00:05:00,0.54873,0.54884,0.54859,0.54882,285,1,0
2024-07-01 00:10:00,0.54882,0.54896,0.54878,0.54892,314,1,0
2024-07-01 00:15:00,0.54891,0.54897,0.54879,0.54886,387,2,0
2024-07-01 00:20:00,0.54886,0.54888,0.54865,0.54875,358,1,0
2024-07-01 00:25:00,0.54875,0.54884,0.5486,0.5486,252,3,0
2024-07-01 00:30:00,0.5486,0.54871,0.54838,0.54867,242,4,0
2024-07-01 00:35:00,0.54867,0.54884,0.54866,0.54884,241,3,0
2024-07-01 00:40:00,0.54884,0.54896,0.54883,0.54887,174,3,0
2024-07-01 00:45:00,0.54887,0.5489,0.54859,0.5486,227,4,0
2024-07-01 00:50:00,0.5486,0.5487,0.54855,0.54855,205,4,0
2024-07-01 00:55:00,0.54855,0.54859,0.54828,0.54853,275,4,0
2024-07-01 01:00:00,0.54852,0.54856,0.54838,0.54852,479,3,0
2024-07-01 01:05:00,0.54852,0.54854,0.54824,0.54831,425,2,0
2024-07-01 01:10:00,0.54831,0.54848,0.5483,0.54841,342,0,0
2024-07-01 01:15:00,0.54842,0.54844,0.5482,0.54827,317,0,0
2024-07-01 01:20:00,0.54827,0.54843,0.54821,0.54841,306,3,0
2024-07-01 01:25:00,0.54841,0.54862,0.5484,0.54849,364,3,0
2024-07-01 01:30:00,0.54848,0.54869,0.54844,0.54868,415,2,0
2024-07-01 01:35:00,0.54868,0.54874,0.54845,0.54846,222,3,0
2024-07-01 01:40:00,0.54846,0.54862,0.54834,0.54837,212,2,0
2024-07-01 01:45:00,0.54836,0.54859,0.54835,0.54841,144,2,0
2024-07-01 01:50:00,0.54841,0.54853,0.54841,0.54843,142,3,0
2024-07-01 01:55:00,0.54843,0.54857,0.54838,0.54856,203,3,0
2024-07-01 02:00:00,0.54856,0.54859,0.54843,0.54848,212,4,0
2024-07-01 02:05:00,0.54848,0.54849,0.54836,0.54848,223,4,0
2024-07-01 02:10:00,0.54849,0.54852,0.54842,0.54848,173,2,0
2024-07-01 02:15:00,0.54849,0.54851,0.54834,0.54838,176,2,0
2024-07-01 02:20:00,0.54838,0.54842,0.54834,0.54838,135,3,0
2024-07-01 02:25:00,0.54838,0.54846,0.54835,0.54843,146,2,0
2024-07-01 02:30:00,0.54843,0.54859,0.54842,0.54847,175,3,0
2024-07-01 02:35:00,0.54847,0.54849,0.54837,0.5484,141,3,0
2024-07-01 02:40:00,0.5484,0.54841,0.54831,0.54837,116,0,0
2024-07-01 02:45:00,0.54838,0.54848,0.54834,0.54847,110,3,0
2024-07-01 02:50:00,0.54847,0.54857,0.54845,0.54852,106,4,0
2024-07-01 02:55:00,0.54852,0.54858,0.5485,0.5485,172,4,0
2024-07-01 03:00:00,0.5485,0.54855,0.54845,0.54854,107,2,0
2024-07-01 03:05:00,0.54854,0.54865,0.54847,0.54863,121,2,0
2024-07-01 03:10:00,0.54863,0.54874,0.54863,0.54874,104,4,0
2024-07-01 03:15:00,0.54875,0.54882,0.54874,0.54879,117,4,0
2024-07-01 03:20:00,0.54879,0.54882,0.54873,0.54875,120,5,0
2024-07-01 03:25:00,0.54875,0.54882,0.54869,0.54881,115,3,0
2024-07-01 03:30:00,0.54881,0.54889,0.54876,0.54876,238,1,0
2024-07-01 03:35:00,0.54875,0.54879,0.54869,0.5487,169,3,0
2024-07-01 03:40:00,0.5487,0.54871,0.54864,0.54865,140,4,0
2024-07-01 03:45:00,0.54865,0.54871,0.54862,0.54864,223,5,0
2024-07-01 03:50:00,0.54864,0.5488,0.54864,0.54879,122,3,0
2024-07-01 03:55:00,0.54879,0.5488,0.54871,0.54874,115,4,0
2024-07-01 04:00:00,0.54874,0.54874,0.54865,0.54867,187,3,0
2024-07-01 04:05:00,0.54867,0.54871,0.54859,0.54867,153,4,0
2024-07-01 04:10:00,0.54867,0.5487,0.54863,0.5487,165,3,0
2024-07-01 04:15:00,0.5487,0.54873,0.54861,0.54867,164,3,0
2024-07-01 04:20:00,0.54867,0.54871,0.54863,0.5487,84,3,0
2024-07-01 04:25:00,0.5487,0.54871,0.54862,0.54865,136,0,0
2024-07-01 04:30:00,0.54865,0.5487,0.54859,0.54863,128,1,0
2024-07-01 04:35:00,0.54863,0.54865,0.54849,0.54853,228,2,0
2024-07-01 04:40:00,0.54853,0.54861,0.54851,0.54859,261,3,0
2024-07-01 04:45:00,0.54858,0.54859,0.5484,0.54846,219,2,0
2024-07-01 04:50:00,0.54846,0.54857,0.54845,0.54853,97,4,0
2024-07-01 04:55:00,0.54853,0.54858,0.5485,0.54853,119,4,0
2024-07-01 05:00:00,0.54853,0.54865,0.54848,0.54862,190,3,0
2024-07-01 05:05:00,0.54862,0.5487,0.54859,0.54863,203,4,0
2024-07-01 05:10:00,0.54863,0.54869,0.5485,0.54853,137,5,0
2024-07-01 05:15:00,0.54853,0.54857,0.54849,0.5485,226,5,0
2024-07-01 05:20:00,0.5485,0.54858,0.54843,0.5485,238,2,0
2024-07-01 05:25:00,0.5485,0.54855,0.54844,0.54853,136,5,0
2024-07-01 05:30:00,0.54853,0.54861,0.54838,0.54848,279,4,0
2024-07-01 05:35:00,0.54848,0.54873,0.54846,0.54865,196,1,0
2024-07-01 05:40:00,0.54864,0.54865,0.54839,0.54843,242,1,0
2024-07-01 05:45:00,0.54843,0.54863,0.5484,0.54847,169,2,0
2024-07-01 05:50:00,0.54847,0.54852,0.54837,0.54845,191,3,0
2024-07-01 05:55:00,0.54845,0.54854,0.54837,0.54847,342,3,0
2024-07-01 06:00:00,0.54847,0.54851,0.54831,0.54837,379,3,0
2024-07-01 06:05:00,0.54837,0.54851,0.54829,0.54835,481,0,0
2024-07-01 06:10:00,0.54835,0.54855,0.54829,0.54851,356,1,0
2024-07-01 06:15:00,0.54851,0.54864,0.5485,0.54859,500,3,0
2024-07-01 06:20:00,0.54859,0.54863,0.5484,0.54852,437,3,0
2024-07-01 06:25:00,0.54853,0.54875,0.54852,0.54864,271,5,0
2024-07-01 06:30:00,0.54863,0.54871,0.54844,0.54856,274,1,0
2024-07-01 06:35:00,0.54856,0.54859,0.54838,0.5484,484,2,0
2024-07-01 06:40:00,0.54841,0.54844,0.54822,0.54837,534,3,0
2024-07-01 06:45:00,0.54838,0.54838,0.54819,0.54822,556,3,0
2024-07-01 06:50:00,0.54822,0.54847,0.54822,0.54841,344,3,0
2024-07-01 06:55:00,0.54841,0.54847,0.5482,0.54837,380,2,0
2024-07-01 07:00:00,0.54836,0.54847,0.54831,0.54831,930,2,0
2024-07-01 07:05:00,0.54832,0.54848,0.54827,0.54843,777,2,0
2024-07-01 07:10:00,0.54844,0.54874,0.54842,0.54868,738,1,0
2024-07-01 07:15:00,0.54867,0.54871,0.54857,0.54863,758,2,0
2024-07-01 07:20:00,0.54863,0.54869,0.5485,0.54859,610,3,0
2024-07-01 07:25:00,0.54859,0.54884,0.54857,0.54868,227,3,0
2024-07-01 07:30:00,0.54868,0.54886,0.54862,0.54876,433,4,0
2024-07-01 07:35:00,0.54876,0.54877,0.54859,0.54865,540,3,0
2024-07-01 07:40:00,0.54865,0.54885,0.54858,0.54884,486,3,0
2024-07-01 07:45:00,0.54884,0.54903,0.54879,0.54901,437,3,0
2024-07-01 07:50:00,0.54901,0.54909,0.54893,0.54907,628,1,0
2024-07-01 07:55:00,0.54907,0.54913,0.54896,0.54908,360,2,0
2024-07-01 08:00:00,0.54908,0.54928,0.54905,0.5491,378,3,0
2024-07-01 08:05:00,0.5491,0.54938,0.54905,0.54934,619,3,0
2024-07-01 08:10:00,0.54934,0.54945,0.54929,0.54933,561,2,0
2024-07-01 08:15:00,0.54933,0.54987,0.54933,0.54963,668,2,0
2024-07-01 08:20:00,0.54964,0.54968,0.54938,0.54942,645,3,0
2024-07-01 08:25:00,0.54942,0.54944,0.54934,0.54938,452,3,0
2024-07-01 08:30:00,0.54937,0.54948,0.54924,0.54926,449,2,0
2024-07-01 08:35:00,0.54925,0.54931,0.54913,0.54929,712,3,0
2024-07-01 08:40:00,0.54929,0.54946,0.54922,0.54938,478,3,0
2024-07-01 08:45:00,0.54937,0.54955,0.54933,0.54949,551,4,0
2024-07-01 08:50:00,0.54949,0.54956,0.5494,0.54955,484,4,0
2024-07-01 08:55:00,0.54955,0.54958,0.54945,0.54951,457,4,0
2024-07-01 09:00:00,0.5495,0.54955,0.54898,0.54916,591,2,0
2024-07-01 09:05:00,0.54915,0.54921,0.54883,0.54885,638,2,0
2024-07-01 09:10:00,0.54885,0.54906,0.54882,0.54896,515,3,0
2024-07-01 09:15:00,0.54896,0.54911,0.5489,0.54903,447,3,0
2024-07-01 09:20:00,0.54902,0.54903,0.54884,0.54884,430,3,0
2024-07-01 09:25:00,0.54886,0.54904,0.54883,0.54903,327,3,0
