time,open,high,low,close,tick_volume,spread,real_volume
2023-12-28 00:00:00,2079.53,2081.19,2079.49,2080.46,396,0,0
2023-12-28 00:05:00,2080.46,2080.65,2079.85,2080.26,400,6,0
2023-12-28 00:10:00,2080.25,2080.6,2079.66,2079.92,290,2,0
2023-12-28 00:15:00,2079.92,2080.31,2079.65,2080.28,269,3,0
2023-12-28 00:20:00,2080.3,2080.39,2079.91,2080.11,181,7,0
2023-12-28 00:25:00,2080.11,2080.35,2079.97,2080.04,143,7,0
2023-12-28 00:30:00,2080.04,2080.57,2079.95,2080.44,164,5,0
2023-12-28 00:35:00,2080.44,2080.44,2080.06,2080.24,154,6,0
2023-12-28 00:40:00,2080.26,2080.37,2080.12,2080.19,148,2,0
2023-12-28 00:45:00,2080.17,2080.67,2080.17,2080.51,166,5,0
2023-12-28 00:50:00,2080.51,2080.62,2079.48,2079.51,364,9,0
2023-12-28 00:55:00,2079.53,2080.12,2079.2,2079.74,331,10,0
2023-12-28 01:00:00,2079.72,2081.39,2079.6,2080.92,722,5,0
2023-12-28 01:05:00,2080.92,2081.24,2080.42,2081.09,277,11,0
2023-12-28 01:10:00,2081.09,2081.56,2080.39,2080.95,349,5,0
2023-12-28 01:15:00,2080.94,2081.97,2080.93,2081.97,430,4,0
2023-12-28 01:20:00,2081.97,2082.31,2081.73,2082.09,508,3,0
2023-12-28 01:25:00,2082.09,2084.04,2082.02,2083.98,460,4,0
2023-12-28 01:30:00,2083.98,2084.73,2082.74,2084.24,545,6,0
2023-12-28 01:35:00,2084.24,2084.34,2083.26,2083.33,569,1,0
2023-12-28 01:40:00,2083.33,2083.96,2083.08,2083.79,384,5,0
2023-12-28 01:45:00,2083.79,2084.34,2083.79,2084.16,260,7,0
2023-12-28 01:50:00,2084.16,2087.55,2083.98,2087.28,652,1,0
2023-12-28 01:55:00,2087.24,2087.76,2086.19,2087.0,541,0,0
2023-12-28 02:00:00,2087.0,2087.72,2086.04,2086.16,718,1,0
2023-12-28 02:05:00,2086.16,2087.04,2085.92,2086.73,831,0,0
2023-12-28 02:10:00,2086.73,2087.18,2085.79,2086.45,357,4,0
2023-12-28 02:15:00,2086.45,2087.77,2086.24,2087.21,344,0,0
2023-12-28 02:20:00,2087.21,2087.48,2086.71,2086.83,343,3,0
2023-12-28 02:25:00,2086.83,2086.94,2085.99,2086.56,332,1,0
2023-12-28 02:30:00,2086.57,2086.83,2086.39,2086.47,211,1,0
2023-12-28 02:35:00,2086.47,2086.65,2085.51,2085.86,311,1,0
2023-12-28 02:40:00,2085.86,2086.77,2085.66,2086.69,240,6,0
2023-12-28 02:45:00,2086.69,2086.72,2085.88,2086.08,245,7,0
2023-12-28 02:50:00,2086.08,2086.79,2085.9,2086.68,203,1,0
2023-12-28 02:55:00,2086.68,2088.44,2086.43,2087.97,619,1,0
2023-12-28 03:00:00,2087.97,2088.39,2087.34,2088.23,528,0,0
2023-12-28 03:05:00,2088.23,2088.38,2087.79,2088.33,424,6,0
2023-12-28 03:10:00,2088.33,2088.33,2087.6,2087.64,497,7,0
2023-12-28 03:15:00,2087.64,2087.71,2086.73,2086.74,356,8,0
2023-12-28 03:20:00,2086.74,2087.65,2086.64,2086.7,399,7,0
2023-12-28 03:25:00,2086.7,2087.08,2085.96,2086.1,275,7,0
2023-12-28 03:30:00,2086.1,2087.02,2086.1,2086.59,303,0,0
2023-12-28 03:35:00,2086.59,2086.9,2086.33,2086.74,188,6,0
2023-12-28 03:40:00,2086.74,2087.21,2086.67,2087.16,107,4,0
2023-12-28 03:45:00,2087.16,2087.8,2087.02,2087.37,208,4,0
2023-12-28 03:50:00,2087.37,2087.47,2086.95,2087.07,204,4,0
2023-12-28 03:55:00,2087.07,2087.62,2087.01,2087.22,164,7,0
2023-12-28 04:00:00,2087.2,2087.22,2086.62,2086.83,239,7,0
2023-12-28 04:05:00,2086.83,2087.26,2085.92,2086.1,295,0,0
2023-12-28 04:10:00,2086.1,2086.71,2086.1,2086.18,267,0,0
2023-12-28 04:15:00,2086.15,2087.01,2086.15,2086.8,143,3,0
2023-12-28 04:20:00,2086.8,2086.81,2086.55,2086.71,124,7,0
2023-12-28 04:25:00,2086.71,2086.78,2085.87,2086.74,363,0,0
2023-12-28 04:30:00,2086.74,2087.25,2086.44,2086.64,140,4,0
2023-12-28 04:35:00,2086.64,2086.64,2085.92,2086.53,175,2,0
2023-12-28 04:40:00,2086.53,2086.58,2086.11,2086.44,233,5,0
2023-12-28 04:45:00,2086.44,2086.96,2086.43,2086.87,177,10,0
2023-12-28 04:50:00,2086.87,2086.9,2086.59,2086.78,117,8,0
2023-12-28 04:55:00,2086.78,2086.81,2086.46,2086.54,68,9,0
2023-12-28 05:00:00,2086.54,2086.68,2085.76,2086.33,213,2,0
2023-12-28 05:05:00,2086.34,2087.43,2086.31,2086.86,348,0,0
2023-12-28 05:10:00,2086.86,2087.52,2086.86,2087.11,318,1,0
2023-12-28 05:15:00,2087.11,2087.15,2086.37,2086.48,190,5,0
2023-12-28 05:20:00,2086.48,2086.89,2086.42,2086.64,216,7,0
2023-12-28 05:25:00,2086.65,2087.5,2086.58,2087.33,226,5,0
2023-12-28 05:30:00,2087.33,2087.4,2086.32,2086.87,467,7,0
2023-12-28 05:35:00,2086.87,2087.03,2086.55,2086.89,230,2,0
