Symbol,Entry_Price,Stop_Loss,Take_Profit
Volatility 100 Index,2847.08,2877.854,2754.7580000000003
Volatility 100 Index,2793.13,2876.1600000000003,2544.0399999999995
Volatility 100 Index,2650.45,2692.0799999999995,2525.560000000001
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,2241.98,2281.425,2123.6449999999995
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,1811.57,1837.7555,1733.0134999999998
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.221
Volatility 100 Index,2334.13,2366.077,2238.289
Volatility 100 Index,1963.53,1985.633,1897.2209999999998
