Symbol,Timeframe,Strategy,Wins,Losses,Neither,Consecutive SL,Final Balance,Win Rate,Max Drawdown Amount,Max Drawdown Percentage,Max Daily Drawdown,Worst Day
Volatility 10 Index,M5,Noir,32,89,12,8,1565,26.446280991735538,135,14.210526315789473,18.75,2024-03-07
Drift Switch Index 20,M5,Noir,22,52,9,14,1370,29.72972972972973,210,38.53211009174312,13.392857142857142,2024-03-07
Volatility 100 Index,M5,Noir,24,58,3,7,1430,29.268292682926827,105,17.355371900826448,13.636363636363635,2024-04-29
Drift Switch Index 30,M5,Noir,8,17,4,4,845,32.0,75,8.152173913043478,11.278195488721805,2024-02-08
Volatility 75 (1s) Index,M5,Noir,9,25,1,5,800,26.47058823529412,75,11.009174311926607,10.344827586206897,2024-05-15
Drift Switch Index 20,M5,Noir,22,52,9,14,1370,29.72972972972973,210,38.53211009174312,13.392857142857142,2024-03-07
Volatility 50 (1s) Index,M5,Noir,7,12,2,7,845,36.84210526315789,120,13.259668508287293,8.287292817679557,2024-03-07
Volatility 25 (1s) Index,M5,Noir,9,26,0,16,785,25.71428571428571,225,46.391752577319586,2.8301886792452833,2024-05-11
Crash 300 Index,M5,Noir,9,18,1,6,905,33.33333333333333,90,13.23529411764706,11.029411764705882,2024-02-27
Jump 10 Index,M5,Noir,8,25,2,7,725,24.242424242424242,105,19.81132075471698,14.150943396226415,2024-02-18
DEX 600 DOWN Index,M5,Noir,11,28,1,7,905,28.205128205128204,105,18.75,3.1914893617021276,2024-02-28
