Symbol,Timeframe,Strategy,Wins,Losses,Neither,Consecutive SL,Final Balance,Win Rate
Volatility 100 Index,M5,AMSstrategy,24,54,4,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
Volatility 100 Index,M5,AMSstrategy,24,54,1,7,13300,30.76923076923077
